KEY,RUSSIAN,Polski,Svenska,Čeština,Slovenčina,Suomi,Italiano,Deutsch,Français
exercises.items.28.instructions.4,"Растягивайте пальцы в стороны",=GOOGLETRANSLATE(B18;"ru";"pl"),=GOOGLETRANSLATE(B18;"ru";"sv"),=GOOGLETRANSLATE(B18;"ru";"cs"),=GOOGLETRANSLATE(B18;"ru";"sk"),=GOOGLETRANSLATE(B18;"ru";"fi"),=GOOGLETRANSLATE(B18;"ru";"it"),=GOOGLETRANSLATE(B18;"ru";"de"),=GOOGLETRANSLATE(B18;"ru";"fr")
exercises.items.28.tips.0,"Выполняйте движения медленно",=GOOGLETRANSLATE(B19;"ru";"pl"),=GOOGLETRANSLATE(B19;"ru";"sv"),=GOOGLETRANSLATE(B19;"ru";"cs"),=GOOGLETRANSLATE(B19;"ru";"sk"),=GOOGLETRANSLATE(B19;"ru";"fi"),=GOOGLETRANSLATE(B19;"ru";"it"),=GOOGLETRANSLATE(B19;"ru";"de"),=GOOGLETRANSLATE(B19;"ru";"fr")
exercises.items.28.tips.1,"Не перенапрягайте суставы",=GOOGLETRANSLATE(B20;"ru";"pl"),=GOOGLETRANSLATE(B20;"ru";"sv"),=GOOGLETRANSLATE(B20;"ru";"cs"),=GOOGLETRANSLATE(B20;"ru";"sk"),=GOOGLETRANSLATE(B20;"ru";"fi"),=GOOGLETRANSLATE(B20;"ru";"it"),=GOOGLETRANSLATE(B20;"ru";"de"),=GOOGLETRANSLATE(B20;"ru";"fr")
exercises.items.28.tips.2,"Следите за ощущениями в запястьях",=GOOGLETRANSLATE(B21;"ru";"pl"),=GOOGLETRANSLATE(B21;"ru";"sv"),=GOOGLETRANSLATE(B21;"ru";"cs"),=GOOGLETRANSLATE(B21;"ru";"sk"),=GOOGLETRANSLATE(B21;"ru";"fi"),=GOOGLETRANSLATE(B21;"ru";"it"),=GOOGLETRANSLATE(B21;"ru";"de"),=GOOGLETRANSLATE(B21;"ru";"fr")
exercises.items.28.tips.3,"Повторяйте регулярно",=GOOGLETRANSLATE(B22;"ru";"pl"),=GOOGLETRANSLATE(B22;"ru";"sv"),=GOOGLETRANSLATE(B22;"ru";"cs"),=GOOGLETRANSLATE(B22;"ru";"sk"),=GOOGLETRANSLATE(B22;"ru";"fi"),=GOOGLETRANSLATE(B22;"ru";"it"),=GOOGLETRANSLATE(B22;"ru";"de"),=GOOGLETRANSLATE(B22;"ru";"fr")

exercises.items.29.title,"Разминка коленей",=GOOGLETRANSLATE(B24;"ru";"pl"),=GOOGLETRANSLATE(B24;"ru";"sv"),=GOOGLETRANSLATE(B24;"ru";"cs"),=GOOGLETRANSLATE(B24;"ru";"sk"),=GOOGLETRANSLATE(B24;"ru";"fi"),=GOOGLETRANSLATE(B24;"ru";"it"),=GOOGLETRANSLATE(B24;"ru";"de"),=GOOGLETRANSLATE(B24;"ru";"fr")
exercises.items.29.instructions.0,"Встаньте прямо, ноги на ширине плеч",=GOOGLETRANSLATE(B25;"ru";"pl"),=GOOGLETRANSLATE(B25;"ru";"sv"),=GOOGLETRANSLATE(B25;"ru";"cs"),=GOOGLETRANSLATE(B25;"ru";"sk"),=GOOGLETRANSLATE(B25;"ru";"fi"),=GOOGLETRANSLATE(B25;"ru";"it"),=GOOGLETRANSLATE(B25;"ru";"de"),=GOOGLETRANSLATE(B25;"ru";"fr")
exercises.items.29.instructions.1,"Медленно сгибайте и разгибайте колени",=GOOGLETRANSLATE(B26;"ru";"pl"),=GOOGLETRANSLATE(B26;"ru";"sv"),=GOOGLETRANSLATE(B26;"ru";"cs"),=GOOGLETRANSLATE(B26;"ru";"sk"),=GOOGLETRANSLATE(B26;"ru";"fi"),=GOOGLETRANSLATE(B26;"ru";"it"),=GOOGLETRANSLATE(B26;"ru";"de"),=GOOGLETRANSLATE(B26;"ru";"fr")
exercises.items.29.instructions.2,"Выполняйте круговые движения коленями",=GOOGLETRANSLATE(B27;"ru";"pl"),=GOOGLETRANSLATE(B27;"ru";"sv"),=GOOGLETRANSLATE(B27;"ru";"cs"),=GOOGLETRANSLATE(B27;"ru";"sk"),=GOOGLETRANSLATE(B27;"ru";"fi"),=GOOGLETRANSLATE(B27;"ru";"it"),=GOOGLETRANSLATE(B27;"ru";"de"),=GOOGLETRANSLATE(B27;"ru";"fr")
exercises.items.29.instructions.3,"Делайте приседания с небольшой амплитудой",=GOOGLETRANSLATE(B28;"ru";"pl"),=GOOGLETRANSLATE(B28;"ru";"sv"),=GOOGLETRANSLATE(B28;"ru";"cs"),=GOOGLETRANSLATE(B28;"ru";"sk"),=GOOGLETRANSLATE(B28;"ru";"fi"),=GOOGLETRANSLATE(B28;"ru";"it"),=GOOGLETRANSLATE(B28;"ru";"de"),=GOOGLETRANSLATE(B28;"ru";"fr")
exercises.items.29.instructions.4,"Растягивайте переднюю поверхность бедра",=GOOGLETRANSLATE(B29;"ru";"pl"),=GOOGLETRANSLATE(B29;"ru";"sv"),=GOOGLETRANSLATE(B29;"ru";"cs"),=GOOGLETRANSLATE(B29;"ru";"sk"),=GOOGLETRANSLATE(B29;"ru";"fi"),=GOOGLETRANSLATE(B29;"ru";"it"),=GOOGLETRANSLATE(B29;"ru";"de"),=GOOGLETRANSLATE(B29;"ru";"fr")
exercises.items.29.tips.0,"Не делайте глубоких приседаний",=GOOGLETRANSLATE(B30;"ru";"pl"),=GOOGLETRANSLATE(B30;"ru";"sv"),=GOOGLETRANSLATE(B30;"ru";"cs"),=GOOGLETRANSLATE(B30;"ru";"sk"),=GOOGLETRANSLATE(B30;"ru";"fi"),=GOOGLETRANSLATE(B30;"ru";"it"),=GOOGLETRANSLATE(B30;"ru";"de"),=GOOGLETRANSLATE(B30;"ru";"fr")
exercises.items.29.tips.1,"Двигайтесь плавно и контролируемо",=GOOGLETRANSLATE(B31;"ru";"pl"),=GOOGLETRANSLATE(B31;"ru";"sv"),=GOOGLETRANSLATE(B31;"ru";"cs"),=GOOGLETRANSLATE(B31;"ru";"sk"),=GOOGLETRANSLATE(B31;"ru";"fi"),=GOOGLETRANSLATE(B31;"ru";"it"),=GOOGLETRANSLATE(B31;"ru";"de"),=GOOGLETRANSLATE(B31;"ru";"fr")
exercises.items.29.tips.2,"При боли в коленях уменьшите амплитуду",=GOOGLETRANSLATE(B32;"ru";"pl"),=GOOGLETRANSLATE(B32;"ru";"sv"),=GOOGLETRANSLATE(B32;"ru";"cs"),=GOOGLETRANSLATE(B32;"ru";"sk"),=GOOGLETRANSLATE(B32;"ru";"fi"),=GOOGLETRANSLATE(B32;"ru";"it"),=GOOGLETRANSLATE(B32;"ru";"de"),=GOOGLETRANSLATE(B32;"ru";"fr")
exercises.items.29.tips.3,"Следите за правильной техникой",=GOOGLETRANSLATE(B33;"ru";"pl"),=GOOGLETRANSLATE(B33;"ru";"sv"),=GOOGLETRANSLATE(B33;"ru";"cs"),=GOOGLETRANSLATE(B33;"ru";"sk"),=GOOGLETRANSLATE(B33;"ru";"fi"),=GOOGLETRANSLATE(B33;"ru";"it"),=GOOGLETRANSLATE(B33;"ru";"de"),=GOOGLETRANSLATE(B33;"ru";"fr")

exercises.items.30.title,"Разминка тазобедренных суставов",=GOOGLETRANSLATE(B35;"ru";"pl"),=GOOGLETRANSLATE(B35;"ru";"sv"),=GOOGLETRANSLATE(B35;"ru";"cs"),=GOOGLETRANSLATE(B35;"ru";"sk"),=GOOGLETRANSLATE(B35;"ru";"fi"),=GOOGLETRANSLATE(B35;"ru";"it"),=GOOGLETRANSLATE(B35;"ru";"de"),=GOOGLETRANSLATE(B35;"ru";"fr")
exercises.items.30.instructions.0,"Встаньте прямо, ноги на ширине плеч",=GOOGLETRANSLATE(B36;"ru";"pl"),=GOOGLETRANSLATE(B36;"ru";"sv"),=GOOGLETRANSLATE(B36;"ru";"cs"),=GOOGLETRANSLATE(B36;"ru";"sk"),=GOOGLETRANSLATE(B36;"ru";"fi"),=GOOGLETRANSLATE(B36;"ru";"it"),=GOOGLETRANSLATE(B36;"ru";"de"),=GOOGLETRANSLATE(B36;"ru";"fr")
exercises.items.30.instructions.1,"Поднимайте колено к груди",=GOOGLETRANSLATE(B37;"ru";"pl"),=GOOGLETRANSLATE(B37;"ru";"sv"),=GOOGLETRANSLATE(B37;"ru";"cs"),=GOOGLETRANSLATE(B37;"ru";"sk"),=GOOGLETRANSLATE(B37;"ru";"fi"),=GOOGLETRANSLATE(B37;"ru";"it"),=GOOGLETRANSLATE(B37;"ru";"de"),=GOOGLETRANSLATE(B37;"ru";"fr")
exercises.items.30.instructions.2,"Отводите ногу в сторону и назад",=GOOGLETRANSLATE(B38;"ru";"pl"),=GOOGLETRANSLATE(B38;"ru";"sv"),=GOOGLETRANSLATE(B38;"ru";"cs"),=GOOGLETRANSLATE(B38;"ru";"sk"),=GOOGLETRANSLATE(B38;"ru";"fi"),=GOOGLETRANSLATE(B38;"ru";"it"),=GOOGLETRANSLATE(B38;"ru";"de"),=GOOGLETRANSLATE(B38;"ru";"fr")
exercises.items.30.instructions.3,"Выполняйте круговые движения бедром",=GOOGLETRANSLATE(B39;"ru";"pl"),=GOOGLETRANSLATE(B39;"ru";"sv"),=GOOGLETRANSLATE(B39;"ru";"cs"),=GOOGLETRANSLATE(B39;"ru";"sk"),=GOOGLETRANSLATE(B39;"ru";"fi"),=GOOGLETRANSLATE(B39;"ru";"it"),=GOOGLETRANSLATE(B39;"ru";"de"),=GOOGLETRANSLATE(B39;"ru";"fr")
exercises.items.30.instructions.4,"Делайте выпады с небольшой амплитудой",=GOOGLETRANSLATE(B40;"ru";"pl"),=GOOGLETRANSLATE(B40;"ru";"sv"),=GOOGLETRANSLATE(B40;"ru";"cs"),=GOOGLETRANSLATE(B40;"ru";"sk"),=GOOGLETRANSLATE(B40;"ru";"fi"),=GOOGLETRANSLATE(B40;"ru";"it"),=GOOGLETRANSLATE(B40;"ru";"de"),=GOOGLETRANSLATE(B40;"ru";"fr")
exercises.items.30.tips.0,"Держите спину прямой",=GOOGLETRANSLATE(B41;"ru";"pl"),=GOOGLETRANSLATE(B41;"ru";"sv"),=GOOGLETRANSLATE(B41;"ru";"cs"),=GOOGLETRANSLATE(B41;"ru";"sk"),=GOOGLETRANSLATE(B41;"ru";"fi"),=GOOGLETRANSLATE(B41;"ru";"it"),=GOOGLETRANSLATE(B41;"ru";"de"),=GOOGLETRANSLATE(B41;"ru";"fr")
exercises.items.30.tips.1,"Работайте в комфортной амплитуде",=GOOGLETRANSLATE(B42;"ru";"pl"),=GOOGLETRANSLATE(B42;"ru";"sv"),=GOOGLETRANSLATE(B42;"ru";"cs"),=GOOGLETRANSLATE(B42;"ru";"sk"),=GOOGLETRANSLATE(B42;"ru";"fi"),=GOOGLETRANSLATE(B42;"ru";"it"),=GOOGLETRANSLATE(B42;"ru";"de"),=GOOGLETRANSLATE(B42;"ru";"fr")
exercises.items.30.tips.2,"Не торопитесь с движениями",=GOOGLETRANSLATE(B43;"ru";"pl"),=GOOGLETRANSLATE(B43;"ru";"sv"),=GOOGLETRANSLATE(B43;"ru";"cs"),=GOOGLETRANSLATE(B43;"ru";"sk"),=GOOGLETRANSLATE(B43;"ru";"fi"),=GOOGLETRANSLATE(B43;"ru";"it"),=GOOGLETRANSLATE(B43;"ru";"de"),=GOOGLETRANSLATE(B43;"ru";"fr")
exercises.items.30.tips.3,"Следите за балансом",=GOOGLETRANSLATE(B44;"ru";"pl"),=GOOGLETRANSLATE(B44;"ru";"sv"),=GOOGLETRANSLATE(B44;"ru";"cs"),=GOOGLETRANSLATE(B44;"ru";"sk"),=GOOGLETRANSLATE(B44;"ru";"fi"),=GOOGLETRANSLATE(B44;"ru";"it"),=GOOGLETRANSLATE(B44;"ru";"de"),=GOOGLETRANSLATE(B44;"ru";"fr")

exercises.items.31.title,"Растяжка паха",=GOOGLETRANSLATE(B46;"ru";"pl"),=GOOGLETRANSLATE(B46;"ru";"sv"),=GOOGLETRANSLATE(B46;"ru";"cs"),=GOOGLETRANSLATE(B46;"ru";"sk"),=GOOGLETRANSLATE(B46;"ru";"fi"),=GOOGLETRANSLATE(B46;"ru";"it"),=GOOGLETRANSLATE(B46;"ru";"de"),=GOOGLETRANSLATE(B46;"ru";"fr")
exercises.items.31.instructions.0,"Сядьте на пол, согните ноги в коленях",=GOOGLETRANSLATE(B47;"ru";"pl"),=GOOGLETRANSLATE(B47;"ru";"sv"),=GOOGLETRANSLATE(B47;"ru";"cs"),=GOOGLETRANSLATE(B47;"ru";"sk"),=GOOGLETRANSLATE(B47;"ru";"fi"),=GOOGLETRANSLATE(B47;"ru";"it"),=GOOGLETRANSLATE(B47;"ru";"de"),=GOOGLETRANSLATE(B47;"ru";"fr")
exercises.items.31.instructions.1,"Соедините подошвы стоп вместе",=GOOGLETRANSLATE(B48;"ru";"pl"),=GOOGLETRANSLATE(B48;"ru";"sv"),=GOOGLETRANSLATE(B48;"ru";"cs"),=GOOGLETRANSLATE(B48;"ru";"sk"),=GOOGLETRANSLATE(B48;"ru";"fi"),=GOOGLETRANSLATE(B48;"ru";"it"),=GOOGLETRANSLATE(B48;"ru";"de"),=GOOGLETRANSLATE(B48;"ru";"fr")
exercises.items.31.instructions.2,"Аккуратно наклонитесь вперед",=GOOGLETRANSLATE(B49;"ru";"pl"),=GOOGLETRANSLATE(B49;"ru";"sv"),=GOOGLETRANSLATE(B49;"ru";"cs"),=GOOGLETRANSLATE(B49;"ru";"sk"),=GOOGLETRANSLATE(B49;"ru";"fi"),=GOOGLETRANSLATE(B49;"ru";"it"),=GOOGLETRANSLATE(B49;"ru";"de"),=GOOGLETRANSLATE(B49;"ru";"fr")
exercises.items.31.instructions.3,"Потяните колени к полу",=GOOGLETRANSLATE(B50;"ru";"pl"),=GOOGLETRANSLATE(B50;"ru";"sv"),=GOOGLETRANSLATE(B50;"ru";"cs"),=GOOGLETRANSLATE(B50;"ru";"sk"),=GOOGLETRANSLATE(B50;"ru";"fi"),=GOOGLETRANSLATE(B50;"ru";"it"),=GOOGLETRANSLATE(B50;"ru";"de"),=GOOGLETRANSLATE(B50;"ru";"fr")
exercises.items.31.instructions.4,"Удерживайте растяжку 30 секунд",=GOOGLETRANSLATE(B51;"ru";"pl"),=GOOGLETRANSLATE(B51;"ru";"sv"),=GOOGLETRANSLATE(B51;"ru";"cs"),=GOOGLETRANSLATE(B51;"ru";"sk"),=GOOGLETRANSLATE(B51;"ru";"fi"),=GOOGLETRANSLATE(B51;"ru";"it"),=GOOGLETRANSLATE(B51;"ru";"de"),=GOOGLETRANSLATE(B51;"ru";"fr")
exercises.items.31.tips.0,"Не форсируйте растяжку",=GOOGLETRANSLATE(B52;"ru";"pl"),=GOOGLETRANSLATE(B52;"ru";"sv"),=GOOGLETRANSLATE(B52;"ru";"cs"),=GOOGLETRANSLATE(B52;"ru";"sk"),=GOOGLETRANSLATE(B52;"ru";"fi"),=GOOGLETRANSLATE(B52;"ru";"it"),=GOOGLETRANSLATE(B52;"ru";"de"),=GOOGLETRANSLATE(B52;"ru";"fr")
exercises.items.31.tips.1,"Дышите глубоко и расслабляйтесь",=GOOGLETRANSLATE(B53;"ru";"pl"),=GOOGLETRANSLATE(B53;"ru";"sv"),=GOOGLETRANSLATE(B53;"ru";"cs"),=GOOGLETRANSLATE(B53;"ru";"sk"),=GOOGLETRANSLATE(B53;"ru";"fi"),=GOOGLETRANSLATE(B53;"ru";"it"),=GOOGLETRANSLATE(B53;"ru";"de"),=GOOGLETRANSLATE(B53;"ru";"fr")
exercises.items.31.tips.2,"При боли уменьшите амплитуду",=GOOGLETRANSLATE(B54;"ru";"pl"),=GOOGLETRANSLATE(B54;"ru";"sv"),=GOOGLETRANSLATE(B54;"ru";"cs"),=GOOGLETRANSLATE(B54;"ru";"sk"),=GOOGLETRANSLATE(B54;"ru";"fi"),=GOOGLETRANSLATE(B54;"ru";"it"),=GOOGLETRANSLATE(B54;"ru";"de"),=GOOGLETRANSLATE(B54;"ru";"fr")
exercises.items.31.tips.3,"Выполняйте после разминки",=GOOGLETRANSLATE(B55;"ru";"pl"),=GOOGLETRANSLATE(B55;"ru";"sv"),=GOOGLETRANSLATE(B55;"ru";"cs"),=GOOGLETRANSLATE(B55;"ru";"sk"),=GOOGLETRANSLATE(B55;"ru";"fi"),=GOOGLETRANSLATE(B55;"ru";"it"),=GOOGLETRANSLATE(B55;"ru";"de"),=GOOGLETRANSLATE(B55;"ru";"fr")

exercises.items.32.title,"Растяжка подколенных сухожилий",=GOOGLETRANSLATE(B57;"ru";"pl"),=GOOGLETRANSLATE(B57;"ru";"sv"),=GOOGLETRANSLATE(B57;"ru";"cs"),=GOOGLETRANSLATE(B57;"ru";"sk"),=GOOGLETRANSLATE(B57;"ru";"fi"),=GOOGLETRANSLATE(B57;"ru";"it"),=GOOGLETRANSLATE(B57;"ru";"de"),=GOOGLETRANSLATE(B57;"ru";"fr")
exercises.items.32.instructions.0,"Сядьте на пол, вытяните ноги вперед",=GOOGLETRANSLATE(B58;"ru";"pl"),=GOOGLETRANSLATE(B58;"ru";"sv"),=GOOGLETRANSLATE(B58;"ru";"cs"),=GOOGLETRANSLATE(B58;"ru";"sk"),=GOOGLETRANSLATE(B58;"ru";"fi"),=GOOGLETRANSLATE(B58;"ru";"it"),=GOOGLETRANSLATE(B58;"ru";"de"),=GOOGLETRANSLATE(B58;"ru";"fr")
exercises.items.32.instructions.1,"Наклонитесь вперед, стараясь достать до стоп",=GOOGLETRANSLATE(B59;"ru";"pl"),=GOOGLETRANSLATE(B59;"ru";"sv"),=GOOGLETRANSLATE(B59;"ru";"cs"),=GOOGLETRANSLATE(B59;"ru";"sk"),=GOOGLETRANSLATE(B59;"ru";"fi"),=GOOGLETRANSLATE(B59;"ru";"it"),=GOOGLETRANSLATE(B59;"ru";"de"),=GOOGLETRANSLATE(B59;"ru";"fr")
exercises.items.32.instructions.2,"Обхватите стопы руками",=GOOGLETRANSLATE(B60;"ru";"pl"),=GOOGLETRANSLATE(B60;"ru";"sv"),=GOOGLETRANSLATE(B60;"ru";"cs"),=GOOGLETRANSLATE(B60;"ru";"sk"),=GOOGLETRANSLATE(B60;"ru";"fi"),=GOOGLETRANSLATE(B60;"ru";"it"),=GOOGLETRANSLATE(B60;"ru";"de"),=GOOGLETRANSLATE(B60;"ru";"fr")
exercises.items.32.instructions.3,"Потянитесь грудью к коленям",=GOOGLETRANSLATE(B61;"ru";"pl"),=GOOGLETRANSLATE(B61;"ru";"sv"),=GOOGLETRANSLATE(B61;"ru";"cs"),=GOOGLETRANSLATE(B61;"ru";"sk"),=GOOGLETRANSLATE(B61;"ru";"fi"),=GOOGLETRANSLATE(B61;"ru";"it"),=GOOGLETRANSLATE(B61;"ru";"de"),=GOOGLETRANSLATE(B61;"ru";"fr")
exercises.items.32.instructions.4,"Удерживайте растяжку 30-45 секунд",=GOOGLETRANSLATE(B62;"ru";"pl"),=GOOGLETRANSLATE(B62;"ru";"sv"),=GOOGLETRANSLATE(B62;"ru";"cs"),=GOOGLETRANSLATE(B62;"ru";"sk"),=GOOGLETRANSLATE(B62;"ru";"fi"),=GOOGLETRANSLATE(B62;"ru";"it"),=GOOGLETRANSLATE(B62;"ru";"de"),=GOOGLETRANSLATE(B62;"ru";"fr")
exercises.items.32.tips.0,"Не округляйте спину",=GOOGLETRANSLATE(B63;"ru";"pl"),=GOOGLETRANSLATE(B63;"ru";"sv"),=GOOGLETRANSLATE(B63;"ru";"cs"),=GOOGLETRANSLATE(B63;"ru";"sk"),=GOOGLETRANSLATE(B63;"ru";"fi"),=GOOGLETRANSLATE(B63;"ru";"it"),=GOOGLETRANSLATE(B63;"ru";"de"),=GOOGLETRANSLATE(B63;"ru";"fr")
exercises.items.32.tips.1,"Работайте в комфортной амплитуде",=GOOGLETRANSLATE(B64;"ru";"pl"),=GOOGLETRANSLATE(B64;"ru";"sv"),=GOOGLETRANSLATE(B64;"ru";"cs"),=GOOGLETRANSLATE(B64;"ru";"sk"),=GOOGLETRANSLATE(B64;"ru";"fi"),=GOOGLETRANSLATE(B64;"ru";"it"),=GOOGLETRANSLATE(B64;"ru";"de"),=GOOGLETRANSLATE(B64;"ru";"fr")
exercises.items.32.tips.2,"Дышите глубоко",=GOOGLETRANSLATE(B65;"ru";"pl"),=GOOGLETRANSLATE(B65;"ru";"sv"),=GOOGLETRANSLATE(B65;"ru";"cs"),=GOOGLETRANSLATE(B65;"ru";"sk"),=GOOGLETRANSLATE(B65;"ru";"fi"),=GOOGLETRANSLATE(B65;"ru";"it"),=GOOGLETRANSLATE(B65;"ru";"de"),=GOOGLETRANSLATE(B65;"ru";"fr")
