KEY,RUSSIAN
exercises.items.30.tips.2,"Не торопитесь с движениями"
exercises.items.30.tips.3,"Следите за балансом"

exercises.items.31.title,"Растяжка паха"
exercises.items.31.instructions.0,"Сядьте на пол, согните ноги в коленях"
exercises.items.31.instructions.1,"Соедините подошвы стоп вместе"
exercises.items.31.instructions.2,"Аккуратно наклонитесь вперед"
exercises.items.31.instructions.3,"Потяните колени к полу"
exercises.items.31.instructions.4,"Удерживайте растяжку 30 секунд"
exercises.items.31.tips.0,"Не форсируйте растяжку"
exercises.items.31.tips.1,"Дышите глубоко и расслабляйтесь"
exercises.items.31.tips.2,"При боли уменьшите амплитуду"
exercises.items.31.tips.3,"Выполняйте после разминки"

exercises.items.32.title,"Растяжка подколенных сухожилий"
exercises.items.32.instructions.0,"Сядьте на пол, вытяните ноги вперед"
exercises.items.32.instructions.1,"Наклонитесь вперед, стараясь достать до стоп"
exercises.items.32.instructions.2,"Обхватите стопы руками"
exercises.items.32.instructions.3,"Потянитесь грудью к коленям"
exercises.items.32.instructions.4,"Удерживайте растяжку 30-45 секунд"
exercises.items.32.tips.0,"Не округляйте спину"
exercises.items.32.tips.1,"Работайте в комфортной амплитуде"
exercises.items.32.tips.2,"Дышите глубоко"
exercises.items.32.tips.3,"Следите за ощущениями в задней поверхности бедра"

exercises.items.33.title,"Растяжка икроножных мышц"
exercises.items.33.instructions.0,"Встаньте лицом к стене"
exercises.items.33.instructions.1,"Поставьте одну ногу вперед, другую назад"
exercises.items.33.instructions.2,"Опустите пятку задней ноги на пол"
exercises.items.33.instructions.3,"Наклонитесь вперед, растягивая икры"
exercises.items.33.instructions.4,"Поменяйте ноги и повторите"
exercises.items.33.tips.0,"Держите заднюю ногу прямой"
exercises.items.33.tips.1,"Не отрывайте пятку от пола"
exercises.items.33.tips.2,"Растягивайтесь плавно"
exercises.items.33.tips.3,"Выполняйте для обеих ног"

exercises.items.34.title,"Растяжка грудных мышц"
exercises.items.34.instructions.0,"Встаньте в дверном проеме"
exercises.items.34.instructions.1,"Поставьте руки на косяки двери"
exercises.items.34.instructions.2,"Сделайте шаг вперед"
exercises.items.34.instructions.3,"Почувствуйте растяжение в груди"
exercises.items.34.instructions.4,"Удерживайте растяжку 30 секунд"
exercises.items.34.tips.0,"Не перенапрягайте плечи"
exercises.items.34.tips.1,"Дышите глубоко"
exercises.items.34.tips.2,"Растягивайтесь постепенно"
exercises.items.34.tips.3,"Следите за ощущениями"

exercises.items.35.title,"Растяжка трицепсов"
exercises.items.35.instructions.0,"Поднимите одну руку вверх"
exercises.items.35.instructions.1,"Согните руку в локте за головой"
exercises.items.35.instructions.2,"Другой рукой потяните локоть вниз"
exercises.items.35.instructions.3,"Почувствуйте растяжение трицепса"
exercises.items.35.instructions.4,"Поменяйте руки и повторите"
exercises.items.35.tips.0,"Не делайте резких движений"
exercises.items.35.tips.1,"Растягивайтесь плавно"
exercises.items.35.tips.2,"Дышите равномерно"
exercises.items.35.tips.3,"Выполняйте для обеих рук"

exercises.items.36.title,"Змейка между конусами"
exercises.items.36.instructions.0,"Расставьте конусы змейкой на расстоянии 2-3 метра"
exercises.items.36.instructions.1,"Начните бег, огибая каждый конус"
exercises.items.36.instructions.2,"Держите низкий центр тяжести"
exercises.items.36.instructions.3,"Работайте ногами быстро и часто"
exercises.items.36.instructions.4,"Следите за правильной техникой поворотов"
exercises.items.36.tips.0,"Начинайте с медленного темпа"
exercises.items.36.tips.1,"Следите за техникой, а не за скоростью"
exercises.items.36.tips.2,"Держите голову поднятой"
exercises.items.36.tips.3,"Используйте короткие быстрые шаги"

exercises.items.37.title,"Быстрые касания ногами"
exercises.items.37.instructions.0,"Встаньте рядом с мячом"
exercises.items.37.instructions.1,"Быстро касайтесь мяча ногой"
exercises.items.37.instructions.2,"Меняйте ноги каждые 2-3 касания"
exercises.items.37.instructions.3,"Поддерживайте постоянный ритм"
exercises.items.37.instructions.4,"Выполните 30-60 секунд"
exercises.items.37.tips.0,"Держите вес тела на опорной ноге"
exercises.items.37.tips.1,"Работайте быстро, но контролируемо"
exercises.items.37.tips.2,"Не теряйте равновесие"
exercises.items.37.tips.3,"Следите за техникой касания"

exercises.items.38.title,"Прыжки с поворотами"
exercises.items.38.instructions.0,"Встаньте прямо, ноги на ширине плеч"
exercises.items.38.instructions.1,"Сделайте прыжок вверх"
exercises.items.38.instructions.2,"Во время прыжка повернитесь на 180 градусов"
exercises.items.38.instructions.3,"Приземлитесь мягко на обе ноги"
exercises.items.38.instructions.4,"Сразу повернитесь обратно и повторите"
exercises.items.38.tips.0,"Приземляйтесь на полусогнутые ноги"
exercises.items.38.tips.1,"Работайте руками для баланса"
exercises.items.38.tips.2,"Начинайте с небольших поворотов"
exercises.items.38.tips.3,"Следите за техникой приземления"

exercises.items.39.title,"Быстрые передачи мяча"
exercises.items.39.instructions.0,"Встаньте лицом к стене на расстоянии 2-3 метра"
exercises.items.39.instructions.1,"Быстро передавайте мяч в стену"
exercises.items.39.instructions.2,"Ловите отскок и сразу передавайте обратно"
exercises.items.39.instructions.3,"Работайте обеими руками"
exercises.items.39.instructions.4,"Выполните 30-45 секунд"
exercises.items.39.tips.0,"Используйте правильную технику передачи"
exercises.items.39.tips.1,"Следите глазами за мячом"
exercises.items.39.tips.2,"Работайте быстро, но точно"
exercises.items.39.tips.3,"Держите руки расслабленными"

exercises.items.40.title,"Бег спиной вперед"
exercises.items.40.instructions.0,"Начните с медленного бега спиной вперед"
exercises.items.40.instructions.1,"Часто оглядывайтесь через плечо"
exercises.items.40.instructions.2,"Держите центр тяжести низко"
exercises.items.40.instructions.3,"Работайте руками для баланса"
exercises.items.40.instructions.4,"Выполните 20-30 метров"
exercises.items.40.tips.0,"Начинайте очень медленно"
exercises.items.40.tips.1,"Всегда проверяйте пространство за собой"
exercises.items.40.tips.2,"Держите колени слегка согнутыми"
exercises.items.40.tips.3,"Не торопитесь с увеличением скорости"

exercises.items.41.title,"Приседания с весом"
exercises.items.41.instructions.0,"Встаньте прямо, ноги на ширине плеч"
exercises.items.41.instructions.1,"Возьмите гантели или штангу"
exercises.items.41.instructions.2,"Приседайте до параллели с полом"
exercises.items.41.instructions.3,"Вставайте, используя силу ног"
exercises.items.41.instructions.4,"Выполните 3-4 подхода по 8-12 повторений"
exercises.items.41.tips.0,"Держите спину прямой"
exercises.items.41.tips.1,"Не округляйте поясницу"
exercises.items.41.tips.2,"Колени не должны выходить за носки"
exercises.items.41.tips.3,"Начинайте с легкого веса"

exercises.items.42.title,"Становая тяга"
exercises.items.42.instructions.0,"Встаньте прямо, ноги на ширине плеч"
exercises.items.42.instructions.1,"Возьмите штангу с пола прямым хватом"
exercises.items.42.instructions.2,"Согните ноги в коленях и отведите таз назад"
exercises.items.42.instructions.3,"Поднимите штангу, разгибая ноги и спину"
exercises.items.42.instructions.4,"Верните штангу на пол контролируемо"
exercises.items.42.tips.0,"Держите спину прямой на протяжении всего движения"
exercises.items.42.tips.1,"Не округляйте поясницу"
exercises.items.42.tips.2,"Двигайте штангу близко к телу"
exercises.items.42.tips.3,"Начинайте с легкого веса"

exercises.items.43.title,"Жим лежа"
exercises.items.43.instructions.0,"Лягте на скамью, ноги на полу"
exercises.items.43.instructions.1,"Возьмите штангу широким хватом"
exercises.items.43.instructions.2,"Опустите штангу к груди контролируемо"
exercises.items.43.instructions.3,"Выжмите штангу вверх"
exercises.items.43.instructions.4,"Выполните 3-4 подхода по 6-10 повторений"
exercises.items.43.tips.0,"Держите лопатки сведенными"
exercises.items.43.tips.1,"Не отрывайте ноги от пола"
exercises.items.43.tips.2,"Дышите правильно: выдох на усилии"
exercises.items.43.tips.3,"Используйте страховку"

exercises.items.44.title,"Подтягивания"
exercises.items.44.instructions.0,"Повисните на перекладине прямым хватом"
exercises.items.44.instructions.1,"Подтянитесь, пока подбородок не окажется над перекладиной"
exercises.items.44.instructions.2,"Опуститесь в исходное положение"
exercises.items.44.instructions.3,"Держите корпус напряженным"
exercises.items.44.instructions.4,"Выполните 3-4 подхода по максимальному количеству"
exercises.items.44.tips.0,"Не раскачивайтесь"
exercises.items.44.tips.1,"Подтягивайтесь плавно и контролируемо"
exercises.items.44.tips.2,"Полностью выпрямляйте руки внизу"
exercises.items.44.tips.3,"При необходимости используйте помощь"

exercises.items.45.title,"Отжимания на брусьях"
exercises.items.45.instructions.0,"Встаньте между брусьями"
exercises.items.45.instructions.1,"Подпрыгните и зафиксируйтесь на брусьях"
exercises.items.45.instructions.2,"Опуститесь, сгибая руки в локтях"
exercises.items.45.instructions.3,"Отожмитесь вверх, разгибая руки"
exercises.items.45.instructions.4,"Выполните 3-4 подхода по 5-15 повторений"
exercises.items.45.tips.0,"Держите корпус прямым"
exercises.items.45.tips.1,"Не раскачивайтесь"
exercises.items.45.tips.2,"Опускайтесь до комфортной глубины"
exercises.items.45.tips.3,"При необходимости используйте помощь ног"

exercises.items.46.title,"Стойка на одной ноге"
exercises.items.46.instructions.0,"Встаньте на одну ногу"
exercises.items.46.instructions.1,"Поднимите другую ногу перед собой"
exercises.items.46.instructions.2,"Держите равновесие как можно дольше"
exercises.items.46.instructions.3,"Работайте руками для баланса"
exercises.items.46.instructions.4,"Поменяйте ноги и повторите"
exercises.items.46.tips.0,"Смотрите вперед, не вниз"
exercises.items.46.tips.1,"Держите корпус напряженным"
exercises.items.46.tips.2,"Начинайте с коротких подходов"
exercises.items.46.tips.3,"Постепенно увеличивайте время"

exercises.items.47.title,"Планка на одной ноге"
exercises.items.47.instructions.0,"Примите положение планки"
exercises.items.47.instructions.1,"Поднимите одну ногу вверх"
exercises.items.47.instructions.2,"Держите ногу прямой"
exercises.items.47.instructions.3,"Удерживайте позицию 30-60 секунд"
exercises.items.47.instructions.4,"Поменяйте ноги и повторите"
exercises.items.47.tips.0,"Держите корпус прямым"
exercises.items.47.tips.1,"Не раскачивайтесь из стороны в сторону"
exercises.items.47.tips.2,"Дышите равномерно"
exercises.items.47.tips.3,"Начинайте с коротких подходов"

exercises.items.48.title,"Приседания на одной ноге"
exercises.items.48.instructions.0,"Встаньте на одну ногу"
exercises.items.48.instructions.1,"Другую ногу вытяните вперед"
exercises.items.48.instructions.2,"Приседайте на опорной ноге"
exercises.items.48.instructions.3,"Вернитесь в исходное положение"
exercises.items.48.instructions.4,"Выполните 3-4 подхода по 5-10 повторений на каждую ногу"
exercises.items.48.tips.0,"Держите спину прямой"
exercises.items.48.tips.1,"Не касайтесь пола второй ногой"
exercises.items.48.tips.2,"Работайте руками для баланса"
exercises.items.48.tips.3,"Начинайте с небольшой амплитуды"

exercises.items.49.title,"Босу-мяч упражнения"
exercises.items.49.instructions.0,"Встаньте на полусферу босу-мяч"
exercises.items.49.instructions.1,"Держите равновесие"
exercises.items.49.instructions.2,"Выполняйте приседания"
exercises.items.49.instructions.3,"Делайте повороты корпуса"
exercises.items.49.instructions.4,"Выполните 3-4 подхода по 10-15 повторений"
exercises.items.49.tips.0,"Начинайте с простых упражнений"
exercises.items.49.tips.1,"Следите за техникой"
exercises.items.49.tips.2,"Не торопитесь"
exercises.items.49.tips.3,"Используйте помощь для поддержки"

exercises.items.50.title,"Йога-баланс"
exercises.items.50.instructions.0,"Встаньте прямо, ноги вместе"
exercises.items.50.instructions.1,"Поднимите одну ногу и поставьте на бедро другой"
exercises.items.50.instructions.2,"Сложите руки перед грудью"
exercises.items.50.instructions.3,"Держите равновесие"
exercises.items.50.instructions.4,"Выполните для обеих ног по 30-60 секунд"
exercises.items.50.tips.0,"Смотрите вперед в одну точку"
exercises.items.50.tips.1,"Дышите глубоко и равномерно"
exercises.items.50.tips.2,"Не торопитесь"
exercises.items.50.tips.3,"При потере баланса начните заново"

exercises.items.51.title,"Ходьба по бревну"
exercises.items.51.instructions.0,"Найдите устойчивое бревно или доску"
exercises.items.51.instructions.1,"Встаньте на бревно"
exercises.items.51.instructions.2,"Идите медленно вперед"
exercises.items.51.instructions.3,"Держите равновесие"
exercises.items.51.instructions.4,"Выполните несколько проходов"
exercises.items.51.tips.0,"Начинайте с широкого бревна"
exercises.items.51.tips.1,"Смотрите вперед, а не вниз"
exercises.items.51.tips.2,"Работайте руками для баланса"
exercises.items.51.tips.3,"Не торопитесь"

exercises.items.52.title,"Стойка на руках у стены"
exercises.items.52.instructions.0,"Встаньте лицом к стене"
exercises.items.52.instructions.1,"Поставьте руки на пол на расстоянии 30 см от стены"
exercises.items.52.instructions.2,"Поднимите ноги вверх по стене"
exercises.items.52.instructions.3,"Держите стойку на руках"
exercises.items.52.instructions.4,"Опустите ноги контролируемо"
exercises.items.52.tips.0,"Начинайте с коротких подходов"
exercises.items.52.tips.1,"Используйте помощь для страховки"
exercises.items.52.tips.2,"Держите корпус напряженным"
exercises.items.52.tips.3,"Не перенапрягайтесь"

exercises.items.53.title,"Фартлек"
exercises.items.53.instructions.0,"Начните с медленного бега 5-10 минут"
exercises.items.53.instructions.1,"Увеличьте скорость до 80% от максимальной на 2-3 минуты"
exercises.items.53.instructions.2,"Вернитесь к медленному бегу на 1-2 минуты"
exercises.items.53.instructions.3,"Повторите цикл 4-6 раз"
exercises.items.53.instructions.4,"Завершите медленным бегом 5-10 минут"
exercises.items.53.tips.0,"Слушайте свое тело"
exercises.items.53.tips.1,"Не превышайте 80% от максимальной скорости"
exercises.items.53.tips.2,"Дышите глубоко"
exercises.items.53.tips.3,"Пейте воду во время тренировки"

exercises.items.54.title,"Повторные спринты"
exercises.items.54.instructions.0,"Выполните 10-минутную разминку"
exercises.items.54.instructions.1,"Пробегите спринт на максимальной скорости 30 секунд"
exercises.items.54.instructions.2,"Отдохните 2-3 минуты"
exercises.items.54.instructions.3,"Повторите спринт"
exercises.items.54.instructions.4,"Выполните 6-8 спринтов"
exercises.items.54.tips.0,"Не экономьте на разминке"
exercises.items.54.tips.1,"Отдыхайте полностью между спринтами"
exercises.items.54.tips.2,"Следите за техникой бега"
exercises.items.54.tips.3,"Не тренируйтесь ежедневно"

exercises.items.55.title,"Интервалы на велосипеде"
exercises.items.55.instructions.0,"Начните с 5-минутной разминки"
exercises.items.55.instructions.1,"Увеличьте нагрузку до 80% от максимальной"
exercises.items.55.instructions.2,"Крутите педали с высокой интенсивностью 2-3 минуты"
exercises.items.55.instructions.3,"Снизьте нагрузку до 50% на 1-2 минуты"
exercises.items.55.instructions.4,"Повторите цикл 6-8 раз"
exercises.items.55.tips.0,"Поддерживайте высокий каденс"
exercises.items.55.tips.1,"Дышите глубоко"
exercises.items.55.tips.2,"Следите за пульсом"
exercises.items.55.tips.3,"Пейте воду регулярно"

exercises.items.56.title,"Бег по холмам"
exercises.items.56.instructions.0,"Найдите холм с уклоном 5-10%"
exercises.items.56.instructions.1,"Выполните 10-минутную разминку"
exercises.items.56.instructions.2,"Бегите вверх по холму с умеренной скоростью"
exercises.items.56.instructions.3,"Спускайтесь вниз для восстановления"
exercises.items.56.instructions.4,"Повторите 6-10 подъемов"
exercises.items.56.tips.0,"Начинайте с небольшого уклона"
exercises.items.56.tips.1,"Держите спину прямой при подъеме"
exercises.items.56.tips.2,"Работайте руками активно"
exercises.items.56.tips.3,"Не торопитесь на спуске"

exercises.items.57.title,"Плиометрические круги"
exercises.items.57.instructions.0,"Выполните 10-минутную разминку"
exercises.items.57.instructions.1,"Сделайте прыжки в длину с места"
exercises.items.57.instructions.2,"Выполните прыжки через препятствия"
exercises.items.57.instructions.3,"Сделайте прыжки на ящик"
exercises.items.57.instructions.4,"Отдохните 2-3 минуты и повторите круг"
exercises.items.57.tips.0,"Следите за техникой приземления"
exercises.items.57.tips.1,"Приземляйтесь на полусогнутые ноги"
exercises.items.57.tips.2,"Работайте руками для баланса"
exercises.items.57.tips.3,"Не переусердствуйте с количеством"

exercises.items.58.title,"Легкая растяжка"
exercises.items.58.instructions.0,"Начните с легких движений"
exercises.items.58.instructions.1,"Выполните растяжку основных мышечных групп"
exercises.items.58.instructions.2,"Дышите глубоко и равномерно"
exercises.items.58.instructions.3,"Двигайтесь плавно и медленно"
exercises.items.58.instructions.4,"Завершите глубоким дыханием"
exercises.items.58.tips.0,"Не растягивайтесь до боли"
exercises.items.58.tips.1,"Дышите глубоко"
exercises.items.58.tips.2,"Расслабляйтесь полностью"
exercises.items.58.tips.3,"Выполняйте регулярно"

exercises.items.59.title,"Фоам-роллинг"
exercises.items.59.instructions.0,"Лягте на фоам-роллер"
exercises.items.59.instructions.1,"Медленно катайте роллер под мышцами"
exercises.items.59.instructions.2,"Остановитесь на болезненных точках"
exercises.items.59.instructions.3,"Держите давление 30-60 секунд"
exercises.items.59.instructions.4,"Повторите для всех групп мышц"
exercises.items.59.tips.0,"Не катайте по суставам"
exercises.items.59.tips.1,"Дышите глубоко"
exercises.items.59.tips.2,"Не терпите сильную боль"
exercises.items.59.tips.3,"Начинайте с мягкого роллера"

exercises.items.60.title,"Легкий бег"
exercises.items.60.instructions.0,"Начните с медленного темпа"
exercises.items.60.instructions.1,"Держите пульс на уровне 60-70% от максимального"
exercises.items.60.instructions.2,"Дышите глубоко и равномерно"
exercises.items.60.instructions.3,"Поддерживайте постоянный темп"
exercises.items.60.instructions.4,"Завершите постепенным снижением темпа"
exercises.items.60.tips.0,"Следите за пульсом"
exercises.items.60.tips.1,"Дышите через нос"
exercises.items.60.tips.2,"Не перенапрягайтесь"
exercises.items.60.tips.3,"Наслаждайтесь процессом"

exercises.items.61.title,"Плавание"
exercises.items.61.instructions.0,"Начните с разминки на суше"
exercises.items.61.instructions.1,"Войдите в воду постепенно"
exercises.items.61.instructions.2,"Плавайте в комфортном темпе"
exercises.items.61.instructions.3,"Меняйте стили плавания"
exercises.items.61.instructions.4,"Завершите медленным плаванием"
exercises.items.61.tips.0,"Не плавайте в одиночку"
exercises.items.61.tips.1,"Следите за техникой"
exercises.items.61.tips.2,"Дышите равномерно"
exercises.items.61.tips.3,"Не переусердствуйте"

exercises.items.62.title,"Велосипед восстановления"
exercises.items.62.instructions.0,"Начните с медленного темпа"
exercises.items.62.instructions.1,"Держите пульс на уровне 50-60% от максимального"
exercises.items.62.instructions.2,"Крутите педали легко и ритмично"
exercises.items.62.instructions.3,"Дышите глубоко"
exercises.items.62.instructions.4,"Завершите постепенным снижением темпа"
exercises.items.62.tips.0,"Поддерживайте высокий каденс"
exercises.items.62.tips.1,"Дышите глубоко"
exercises.items.62.tips.2,"Не перенапрягайтесь"
exercises.items.62.tips.3,"Наслаждайтесь поездкой"

exercises.items.63.title,"Йога восстановления"
exercises.items.63.instructions.0,"Начните с простых поз"
exercises.items.63.instructions.1,"Выполняйте растяжку медленно"
exercises.items.63.instructions.2,"Дышите глубоко и равномерно"
exercises.items.63.instructions.3,"Расслабляйтесь в каждой позе"
exercises.items.63.instructions.4,"Завершите медитацией"
exercises.items.63.tips.0,"Не форсируйте позы"
exercises.items.63.tips.1,"Дышите через нос"
exercises.items.63.tips.2,"Слушайте свое тело"
exercises.items.63.tips.3,"Наслаждайтесь процессом"

exercises.items.65.title,"Контрастный душ"
exercises.items.65.instructions.0,"Начните с теплой воды"
exercises.items.65.instructions.1,"Постепенно переходите к холодной воде"
exercises.items.65.instructions.2,"Держите холодную воду 30-60 секунд"
exercises.items.65.instructions.3,"Вернитесь к теплой воде"
exercises.items.65.instructions.4,"Повторите цикл 3-5 раз"
exercises.items.65.tips.0,"Начинайте постепенно"
exercises.items.65.tips.1,"Дышите глубоко"
exercises.items.65.tips.2,"Не переохлаждайтесь"
exercises.items.65.tips.3,"Слушайте свое тело"
