KEY,RUSSIAN,Polski,Svenska,Čeština,Slovenčina,Suomi,Italiano,Deutsch,Français
exercises.items.31.tips.2,При боли уменьшите амплитуду,"Jeśli wystąpi ból, zmniejsz amplitudę.","Om smärta uppstår, minska amplituden.","Pokud se objeví bolest, snižte amplitudu.","Ak dôjde k bolesti, znížte amplitúdu.","Jos kipua ilmenee, vähennä amplitudia.","Se si avverte dolore, ridurre l'ampiezza.","Wenn Schmerzen auftreten, reduzieren Sie die Amplitude.","Si une douleur survient, réduisez l’amplitude."
exercises.items.31.tips.3,Выполняйте после разминки,Wykonaj po rozgrzewce,Utför efter uppvärmning,Proveďte po zahřátí,Vykonajte po zahriatí,Suorita lämmittelyn jälkeen,Eseguire dopo il riscaldamento,Nach dem Aufwärmen durchführen,Exécuter après l'échauffement
,,,,,,,,,
exercises.items.32.title,Растяжка подколенных сухожилий,Rozciąganie ścięgna podkolanowego,Hamstring stretch,Protažení hamstringů,Natiahnutie hamstringov,Reisilihaksen venytys,Allungamento dei muscoli posteriori della coscia,Dehnung der Oberschenkelrückseite,Étirement des ischio-jambiers
exercises.items.32.instructions.0,"Сядьте на пол, вытяните ноги вперед",Usiądź na podłodze z nogami wyciągniętymi do przodu.,Sitt på golvet med benen sträckta framåt.,Sedněte si na podlahu s nohama nataženýma dopředu.,Posaďte sa na podlahu s nohami natiahnutými dopredu.,Istu lattialle jalat ojennettuna eteenpäin.,Sedetevi sul pavimento con le gambe distese in avanti.,Setzen Sie sich mit nach vorne gestreckten Beinen auf den Boden.,Asseyez-vous sur le sol avec vos jambes tendues vers l’avant.
exercises.items.32.instructions.1,"Наклонитесь вперед, стараясь достать до стоп","Pochyl się do przodu, próbując dosięgnąć stóp",Böj dig framåt och försök att nå dina fötter,Předkloňte se a snažte se dosáhnout na nohy,Predkloňte sa a snažte sa dosiahnuť nohy,Taivuta eteenpäin yrittäen yltää jalkaisi,"Piegati in avanti, cercando di raggiungere i tuoi piedi","Beugen Sie sich nach vorne und versuchen Sie, Ihre Füße zu erreichen",Penchez-vous en avant en essayant d'atteindre vos pieds
exercises.items.32.instructions.2,Обхватите стопы руками,Złącz stopy dłońmi,Knäpp ihop fötterna med händerna,Sepněte si nohy rukama,Zopnite si nohy rukami,Purista jalkasi käsilläsi,Stringi i piedi con le mani,Umklammern Sie Ihre Füße mit den Händen,Joignez vos pieds avec vos mains
exercises.items.32.instructions.3,Потянитесь грудью к коленям,Przyciągnij klatkę piersiową do kolan,Dra bröstet mot knäna,Přitáhněte hrudník směrem ke kolenům,Potiahnite hrudník smerom ku kolenám,Vedä rintaasi polviasi kohti,Tira il petto verso le ginocchia,Ziehen Sie Ihre Brust in Richtung Ihrer Knie,Tirez votre poitrine vers vos genoux
exercises.items.32.instructions.4,Удерживайте растяжку 30-45 секунд,Przytrzymaj rozciąganie przez 30–45 sekund,Håll stretchen i 30-45 sekunder,Protažení vydržte 30-45 sekund,Podržte strečing 30-45 sekúnd,Pidä venytys 30-45 sekuntia,Mantieni lo stretching per 30-45 secondi,Halten Sie die Dehnung für 30–45 Sekunden,Maintenez l'étirement pendant 30 à 45 secondes
exercises.items.32.tips.0,Не округляйте спину,Nie zaokrąglaj pleców,Runda inte ryggen,Nekruťte se v zádech,Nekrúťte si chrbát,Älä pyöritä selkääsi,Non curvare la schiena,Machen Sie keinen runden Rücken,Ne courbez pas le dos
exercises.items.32.tips.1,Работайте в комфортной амплитуде,Pracuj w komfortowym zakresie,Arbeta inom ett bekvämt område,Pracujte v pohodlném dosahu,Pracujte v pohodlnom dosahu,Työskentele mukavalla alueella,Lavorare entro un intervallo confortevole,Arbeiten Sie in einem angenehmen Bereich,Travailler dans une plage confortable
exercises.items.32.tips.2,Дышите глубоко,Oddychaj głęboko,Andas djupt,Zhluboka dýchejte,Zhlboka dýchajte,Hengitä syvään,Respira profondamente,Tief durchatmen,Respirez profondément
exercises.items.32.tips.3,Следите за ощущениями в задней поверхности бедра,Zwróć uwagę na odczucia w tylnej części uda,Var uppmärksam på förnimmelserna på baksidan av låret,Věnujte pozornost pocitům v zadní části stehna,Venujte pozornosť pocitom v zadnej časti stehna,Kiinnitä huomiota reiden takaosassa oleviin tuntemuksiin,Presta attenzione alle sensazioni nella parte posteriore della coscia,Achten Sie auf die Empfindungen an der Rückseite Ihres Oberschenkels,Faites attention aux sensations à l’arrière de votre cuisse
,,,,,,,,,
exercises.items.33.title,Растяжка икроножных мышц,Rozciąganie mięśni łydek,Stretching av vadmusklerna,Protahování lýtkových svalů,Natiahnutie lýtkových svalov,Pohjelihasten venyttely,Allungamento dei muscoli del polpaccio,Dehnung der Wadenmuskulatur,Étirement des muscles du mollet
exercises.items.33.instructions.0,Встаньте лицом к стене,Stań twarzą do ściany,Stå vänd mot väggen,Postavte se čelem ke zdi,Postavte sa čelom k stene,Seiso seinää päin,Mettiti di fronte al muro,Stellen Sie sich mit dem Gesicht zur Wand,Tenez-vous face au mur
exercises.items.33.instructions.1,"Поставьте одну ногу вперед, другую назад","Postaw jedną stopę z przodu, a drugą z tyłu.",Placera en fot framåt och den andra bakåt.,Umístěte jednu nohu dopředu a druhou dozadu.,Položte jednu nohu dopredu a druhú dozadu.,Aseta toinen jalka eteenpäin ja toinen taaksepäin.,Posizionare un piede avanti e l'altro indietro.,Stellen Sie einen Fuß nach vorne und den anderen nach hinten.,Placez un pied en avant et l’autre en arrière.
exercises.items.33.instructions.2,Опустите пятку задней ноги на пол,Opuść piętę tylnej stopy na podłogę,Sänk hälen på din bakre fot till golvet,Spusťte patu zadní nohy na podlahu,Spustite pätu zadnej nohy na podlahu,Laske takajalan kantapää lattiaan,Abbassare il tallone del piede posteriore sul pavimento,Senken Sie die Ferse Ihres hinteren Fußes auf den Boden,Abaissez le talon de votre pied arrière au sol
exercises.items.33.instructions.3,"Наклонитесь вперед, растягивая икры","Pochyl się do przodu, rozciągając łydki","Böj dig framåt, sträck dina vader",Předkloňte se a protáhněte lýtka,Predkloňte sa a natiahnite lýtka,"Taivuta eteenpäin, venyttämällä pohkeita","Piegati in avanti, allungando i polpacci",Beugen Sie sich nach vorne und dehnen Sie Ihre Waden,Penchez-vous en avant en étirant vos mollets
exercises.items.33.instructions.4,Поменяйте ноги и повторите,Zmień nogi i powtórz,Byt ben och upprepa,Vyměňte nohy a opakujte,Vymeňte nohy a opakujte,Vaihda jalkaa ja toista,Cambia gamba e ripeti,Wechseln Sie die Beine und wiederholen Sie den Vorgang,Changez de jambe et répétez
exercises.items.33.tips.0,Держите заднюю ногу прямой,Trzymaj tylną nogę prosto,Håll bakbenet rakt,Udržujte zadní nohu rovně,Udržujte zadnú nohu rovno,Pidä takajalka suorana,Mantieni la gamba posteriore dritta,Halten Sie Ihr hinteres Bein gerade,Gardez votre jambe arrière droite
exercises.items.33.tips.1,Не отрывайте пятку от пола,Nie odrywaj pięty od podłogi,Lyft inte hälen från golvet,Nezvedejte patu z podlahy,Nedvíhajte pätu z podlahy,Älä nosta kantapäätäsi lattiasta,Non sollevare il tallone da terra,Heben Sie Ihre Ferse nicht vom Boden ab,Ne soulevez pas votre talon du sol
exercises.items.33.tips.2,Растягивайтесь плавно,Rozciągaj się płynnie,Sträck ut smidigt,Plynule se protahujte,Hladko natiahnite,Venytä pehmeästi,Allungare dolcemente,Sanft dehnen,Étirez-vous en douceur
exercises.items.33.tips.3,Выполняйте для обеих ног,Wykonaj dla obu nóg,Utför båda benen,Proveďte pro obě nohy,Vykonajte pre obe nohy,Suorita molemmille jaloille,Eseguire per entrambe le gambe,Für beide Beine durchführen,Exécuter pour les deux jambes
,,,,,,,,,
exercises.items.34.title,Растяжка грудных мышц,Rozciąganie mięśni piersiowych,Stretching av bröstmusklerna,Protažení prsních svalů,Natiahnutie prsných svalov,Rintalihasten venyttely,Allungamento dei muscoli pettorali,Dehnung der Brustmuskulatur,Étirement des muscles pectoraux
exercises.items.34.instructions.0,Встаньте в дверном проеме,Stań w drzwiach,Stå i dörröppningen,Postavte se do dveří,Postavte sa do dverí,Seiso ovella,Fermati sulla porta,Stehen Sie im Türrahmen,Restez dans l'embrasure de la porte
exercises.items.34.instructions.1,Поставьте руки на косяки двери,Połóż dłonie na framugach drzwi,Placera händerna på dörrkarmarna,Položte ruce na rámy dveří,Položte ruky na rámy dverí,Aseta kätesi ovenkarmeille,Metti le mani sugli stipiti delle porte,Legen Sie Ihre Hände auf die Türrahmen,Placez vos mains sur les cadres de porte
exercises.items.34.instructions.2,Сделайте шаг вперед,Zrób krok naprzód,Ta ett steg framåt,Udělejte krok vpřed,Urobte krok vpred,Ota askel eteenpäin,Fai un passo avanti,Machen Sie einen Schritt nach vorne,Faites un pas en avant
exercises.items.34.instructions.3,Почувствуйте растяжение в груди,Poczuj rozciąganie w klatce piersiowej,Känn sträckningen i bröstet,Vnímejte protažení v hrudi,Cíťte napnutie v hrudi,Tunne venytys rinnassasi,Senti lo stiramento nel tuo petto,Spüren Sie die Dehnung in Ihrer Brust,Sentez l'étirement dans votre poitrine
exercises.items.34.instructions.4,Удерживайте растяжку 30 секунд,Przytrzymaj rozciąganie przez 30 sekund,Håll stretchen i 30 sekunder,Protažení vydržte 30 sekund,Natiahnutie vydržte 30 sekúnd,Pidä venytys 30 sekuntia,Mantieni lo stretching per 30 secondi,Halten Sie die Dehnung 30 Sekunden lang,Maintenez l'étirement pendant 30 secondes
exercises.items.34.tips.0,Не перенапрягайте плечи,Nie przeciążaj ramion,Överansträng inte dina axlar,Nepřetěžujte ramena,Nepreťažujte ramená,Älä ylikuormita hartioitasi,Non sforzare troppo le spalle,Überanstrengen Sie Ihre Schultern nicht,Ne forcez pas trop vos épaules
exercises.items.34.tips.1,Дышите глубоко,Oddychaj głęboko,Andas djupt,Zhluboka dýchejte,Zhlboka dýchajte,Hengitä syvään,Respira profondamente,Tief durchatmen,Respirez profondément
exercises.items.34.tips.2,Растягивайтесь постепенно,Rozciągaj się stopniowo,Sträck ut gradvis,Protahujte postupně,Naťahujte postupne,Venytä vähitellen,Allungare gradualmente,Dehnen Sie sich allmählich,Étirez-vous progressivement
exercises.items.34.tips.3,Следите за ощущениями,Podążaj za swoimi odczuciami,Följ dina förnimmelser,Následujte své pocity,Nasledujte svoje pocity,Seuraa tuntemuksiasi,Segui le tue sensazioni,Folgen Sie Ihren Empfindungen,Suivez vos sensations
,,,,,,,,,
exercises.items.35.title,Растяжка трицепсов,Rozciąganie tricepsa,Triceps stretch,Protažení tricepsů,Natiahnutie tricepsov,Triceps venyttää,Allungamento dei tricipiti,Trizeps-Dehnung,Étirement des triceps
exercises.items.35.instructions.0,Поднимите одну руку вверх,Podnieś jedną rękę do góry,Lyft upp ena handen,Zvedněte jednu ruku nahoru,Zdvihnite jednu ruku,Nosta toinen käsi ylös,Alza una mano,Heben Sie eine Hand hoch,Lève une main
exercises.items.35.instructions.1,Согните руку в локте за головой,Zegnij rękę w łokciu za głową,Böj armen vid armbågen bakom huvudet,Ohněte ruku v lokti za hlavou,Ohnite ruku v lakti za hlavou,Taivuta käsivarsi kyynärpäästä pään taakse,Piega il braccio all'altezza del gomito dietro la testa,Beugen Sie Ihren Arm am Ellbogen hinter Ihrem Kopf,Pliez votre bras au niveau du coude derrière votre tête
exercises.items.35.instructions.2,Другой рукой потяните локоть вниз,Drugą ręką pociągnij łokieć w dół,Dra ner armbågen med din andra hand,Druhou rukou stáhněte loket dolů,Druhou rukou stiahnite lakeť nadol,Vedä kyynärpääsi toisella kädellä alas,"Con l'altra mano, tira il gomito verso il basso",Ziehen Sie mit der anderen Hand Ihren Ellbogen nach unten,"Avec votre autre main, tirez votre coude vers le bas"
