Exercise ID,Title (RU),Instructions (RU),Tips (RU),Equipment (RU),Calories (RU),Category (RU),Difficulty (RU),Duration (RU)
22,"Быстрые отжимания","Примите упор лежа | Руки на ширине плеч | Опуститесь до касания грудью пола | Быстро отожмитесь вверх | Повторите 15-20 раз | Отдыхайте 1-2 минуты между подходами","Держите тело прямым | Не прогибайтесь в пояснице | Дышите равномерно | Начинайте с меньшего количества повторений","Не требуется","100-200 ккал","Восстановление","Продвинутый","10-15 мин"
23,"Прыжки через препятствия","Поставьте конусы на расстоянии 1-2 метра | Прыгайте через препятствия | Приземляйтесь на обе ноги | Повторите 3 прохода","Приземляйтесь мягко | Держите колени слегка согнутыми | Не торопитесь | Следите за техникой","Конусы или барьеры","80-120 ккал","Выносливость","Начинающий","10-15 мин"
24,"Быстрые приседания","Встаньте прямо | Ноги на ширине плеч | Приседайте до параллели с полом | Быстро вставайте | Повторите 20-25 раз","Держите спину прямой | Не отрывайте пятки | Дышите равномерно | Начинайте медленно","Не требуется","120-180 ккал","Выносливость","Начинающий","10-15 мин"
25,"Броски набивного мяча","Возьмите мяч 5-8 кг | Встаньте прямо | Поднимите мяч к груди | Бросьте с максимальной силой | Поймайте отскок | Повторите 15 раз","Используйте все тело | Не только руки | Держите спину прямой | Начинайте с легкого мяча","Мяч 5-8 кг","150-200 ккал","Выносливость","Начинающий","10-15 мин"
26,"Разминка голеностопа","Сядьте на пол, вытянув ноги | Вращайте стопами по часовой стрелке | Затем против часовой стрелки | Сгибайте и разгибайте стопы | Выполните круговые движения пальцами | Повторите для каждой ноги по 2-3 минуты","Двигайтесь медленно и плавно | Не делайте резких движений | Дышите ровно | Сосредоточьтесь на ощущениях","Не требуется","100-200 ккал","Выносливость","Начинающий","10-15 мин"
27,"Разминка шеи","","","Не требуется","100-200 ккал","Выносливость","Начинающий","10-15 мин"
28,"Разминка запястий","","","Не требуется","100-200 ккал","Выносливость","Начинающий","10-15 мин"
29,"Разминка коленей","","","Не требуется","100-200 ккал","Выносливость","Начинающий","10-15 мин"
3,"Велосипед","5 минут разминки на низкой интенсивности | 2 минуты высокой интенсивности (80-85% от максимума) | 1 минута восстановления на низкой интенсивности | Повторите интервалы 10 раз | 5 минут заминки на низкой интенсивности","Поддерживайте высокий темп педалирования (80-100 об/мин) | Следите за положением тела - спина прямая | Регулируйте сопротивление для изменения интенсивности | Пейте воду во время тренировки","Велосипед или велотренажер","300-400 ккал за тренировку","Выносливость","Средний","10-15 мин"
30,"Разминка тазобедренных суставов","","","Не требуется","100-200 ккал","Выносливость","Начинающий","10-15 мин"
31,"Растяжка паха","","","Не требуется","100-200 ккал","Сила","Начинающий","10-15 мин"
32,"Растяжка подколенных сухожилий","","","Не требуется","100-200 ккал","Сила","Начинающий","10-15 мин"
33,"Растяжка икроножных мышц","","","Не требуется","100-200 ккал","Сила","Начинающий","10-15 мин"
34,"Растяжка грудных мышц","","","Не требуется","100-200 ккал","Сила","Начинающий","10-15 мин"
35,"Растяжка трицепсов","","","Не требуется","100-200 ккал","Сила","Начинающий","10-15 мин"
36,"Змейка между конусами","","","Не требуется","100-200 ккал","Сила","Средний","10-15 мин"
37,"Быстрые касания ногами","","","Не требуется","100-200 ккал","Сила","Средний","10-15 мин"
38,"Прыжки с поворотами","","","Не требуется","100-200 ккал","Сила","Средний","10-15 мин"
39,"Быстрые передачи мяча","","","Не требуется","100-200 ккал","Сила","Средний","10-15 мин"
4,"Плиометрические прыжки","Встаньте прямо, ноги на ширине плеч | Присядьте на 1/4, согнув колени | Взрывно выпрыгните вверх, вытягивая руки | Приземлитесь на полусогнутые ноги | Сразу же выполняйте следующий прыжок | Выполните 15-20 прыжков подряд","Приземляйтесь мягко, сгибая колени | Держите корпус прямо | Не делайте паузы между прыжками | Отдыхайте 2-3 минуты между подходами","Коврик для упражнений (опционально)","150-200 ккал за тренировку","Взрывная скорость","Средний","10-15 мин"
40,"Бег спиной вперед","","","Не требуется","100-200 ккал","Сила","Средний","10-15 мин"
41,"Приседания с весом","","","Не требуется","100-200 ккал","Ловкость","Средний","10-15 мин"
42,"Становая тяга","","","Не требуется","100-200 ккал","Ловкость","Средний","10-15 мин"
43,"Жим лежа","","","Не требуется","100-200 ккал","Ловкость","Средний","10-15 мин"
44,"Подтягивания","","","Не требуется","100-200 ккал","Ловкость","Средний","10-15 мин"
45,"Отжимания на брусьях","","","Не требуется","100-200 ккал","Ловкость","Средний","10-15 мин"
46,"Стойка на одной ноге","","","Не требуется","100-200 ккал","Ловкость","Средний","10-15 мин"
47,"Планка на одной ноге","","","Не требуется","100-200 ккал","Ловкость","Средний","10-15 мин"
48,"Приседания на одной ноге","","","Не требуется","100-200 ккал","Ловкость","Средний","10-15 мин"
49,"Босу-мяч упражнения","","","Не требуется","100-200 ккал","Ловкость","Средний","10-15 мин"
5,"Спринты на короткие дистанции","Разметьте дистанцию 20-30 метров | Примите положение старта (полуприсед) | По сигналу бегите на максимальной скорости | Пересеките финишную линию | Медленно вернитесь к старту | Отдохните 30 секунд и повторите","Фокусируйтесь на технике бега | Держите корпус прямо | Работайте руками активно | Не сокращайте время отдыха","Открытое пространство или беговая дорожка","200-250 ккал за тренировку","Взрывная скорость","Средний","10-15 мин"
50,"Йога-баланс","","","Не требуется","100-200 ккал","Ловкость","Средний","10-15 мин"
51,"Ходьба по бревну","","","Не требуется","100-200 ккал","Баланс","Средний","10-15 мин"
52,"Стойка на руках у стены","","","Не требуется","100-200 ккал","Баланс","Средний","10-15 мин"
53,"Фартлек","","","Не требуется","100-200 ккал","Баланс","Средний","10-15 мин"
54,"Повторные спринты","","","Не требуется","100-200 ккал","Баланс","Средний","10-15 мин"
55,"Интервалы на велосипеде","","","Не требуется","100-200 ккал","Баланс","Средний","10-15 мин"
56,"Бег по холмам","","","Не требуется","100-200 ккал","Баланс","Продвинутый","10-15 мин"
57,"Плиометрические круги","","","Не требуется","100-200 ккал","Баланс","Продвинутый","10-15 мин"
58,"Легкая растяжка","","","Не требуется","100-200 ккал","Баланс","Продвинутый","10-15 мин"
59,"Фоам-роллинг","","","Не требуется","100-200 ккал","Баланс","Продвинутый","10-15 мин"
6,"Броски мяча в стену","Встаньте в 1-2 метрах от стены | Держите мяч двумя руками на уровне груди | Присядьте, сгибая колени | Взрывно выпрямите ноги и руки, бросая мяч | Поймайте отскочивший мяч | Сразу же выполняйте следующий бросок","Используйте мяч весом 2-4 кг | Бросайте с максимальной силой | Держите спину прямой | Работайте всем телом, а не только руками","Медицинский мяч 2-4 кг, стена","120-180 ккал за тренировку","Разминка","Начинающий","10-15 мин"
60,"Легкий бег","","","Не требуется","100-200 ккал","Баланс","Продвинутый","10-15 мин"
61,"Плавание","","","Не требуется","100-200 ккал","Восстановление","Продвинутый","10-15 мин"
62,"Велосипед восстановления","","","Не требуется","100-200 ккал","Восстановление","Продвинутый","10-15 мин"
63,"Йога восстановления","","","Не требуется","100-200 ккал","Восстановление","Продвинутый","10-15 мин"
64,"Растяжка с резинкой","Выберите подходящую резинку | Выполняйте медленные движения | Удерживайте растяжку 20-30 секунд | Повторите каждое упражнение 3-5 раз","Начинайте с легкой резинки | Не допускайте боли | Дышите равномерно | Постепенно увеличивайте сопротивление","Резиновая лента","35-55 ккал","Восстановление","Продвинутый","10-15 мин"
65,"Контрастный душ","","","Не требуется","100-200 ккал","Восстановление","Продвинутый","10-15 мин"
7,"Динамическая растяжка ног","Встаньте прямо, держась за опору | Выполните 10-15 махов вперед правой ногой | Выполните 10-15 махов назад правой ногой | Выполните 10-15 махов в сторону правой ногой | Повторите для левой ноги | Выполните круговые движения в тазобедренных суставах","Держите спину прямо | Не раскачивайтесь слишком сильно | Выполняйте движения плавно | Дышите глубоко и ритмично","Стена или стул для опоры","50-80 ккал за разминку","Разминка","Начинающий","10-15 мин"
8,"Разминка верхней части тела","Встаньте прямо, ноги на ширине плеч | Выполните 10 круговых движений руками вперед | Выполните 10 круговых движений руками назад | Выполните 10 наклонов туловища в стороны | Выполните 10 поворотов туловища | Выполните круговые движения плечами","Двигайтесь медленно и плавно | Не делайте резких движений | Следите за дыханием | Постепенно увеличивайте амплитуду движений","Не требуется","40-60 ккал за разминку","Разминка","Начинающий","10-15 мин"
9,"Легкий бег на месте","Встаньте прямо, ноги на ширине плеч | Начните с легкого бега на месте | Постепенно поднимайте колени выше | Работайте руками, как при обычном беге | Увеличивайте темп в течение 2-3 минут | Замедляйтесь в последние 2 минуты","Держите спину прямо | Приземляйтесь на носки | Дышите глубоко | Не делайте слишком высокие прыжки","Не требуется","60-80 ккал за разминку","Растяжка","Начинающий","10-15 мин"
