KEY,RUSSIAN,Polski,Svenska,Čeština,Slovenčina,Suomi,Italiano,Deutsch,Français
uploadingPhotos,Загружается {count} фото... {progress}%,,,,,,,,
info,Информация,,,,,,,,
addVideoLink,"Добавьте ссылку на YouTube или VK и время момента (формат: минуты:секунды, например: 1:25)",,,,,,,,
supportedPlatforms,"Поддерживаются: youtube.com/watch?v=, youtu.be/, youtube.com/shorts/, youtube.com/live/, m.youtube.com/, vk.com/video, vk.com/clip",,,,,,,,
videoUrlPlaceholder,https://youtube.com/watch?v=... или vk.com/video...,,,,,,,,
timeCodePlaceholder,мин:сек,,,,,,,,
myMoment,Мой момент,,,,,,,,
belarus,Беларусь,,,,,,,,
additional,Дополнительно,,,,,,,,
left,Левый,,,,,,,,
right,Правый,,,,,,,,
birthDatePlaceholder,ММ.ГГГГ (например: 12.2014),,,,,,,,
countPlaceholder,Количество раз,,,,,,,,
timePlaceholder,Время в секундах,,,,,,,,
deleteUser,Удаление пользователя,,,,,,,,
success,Успешно,,,,,,,,
selectTeams,Выберите команды,,,,,,,,
enterTeamName,Введите название команды,,,,,,,,
enterStartYear,Введите корректный год начала,,,,,,,,
enterEndYear,Введите корректный год окончания,,,,,,,,
createTeamError,Не удалось создать команду в базе данных,,,,,,,,
addTeam,Добавить команду,,,,,,,,
teamName,Название команды *,,,,,,,,
teamCountry,Страна (необязательно),,,,,,,,
teamCity,Город (необязательно),,,,,,,,
startYear,Год начала *,,,,,,,,
endYear,Год окончания (необязательно),,,,,,,,
searchTeams,Поиск команды...,,,,,,,,
save,Сохранить,,,,,,,,
add,Добавить,,,,,,,,
editTeam,Редактировать команду,,,,,,,,
noTeamsFound,Команды не найдены,,,,,,,,
searching,Поиск...,,,,,,,,
noCurrentTeams,Нет текущих команд,,,,,,,,
addMoreVideo,Добавить еще видео,,,,,,,,
noPastTeams,Нет прошлых команд,,,,,,,,
noVideosAdded,Нет добавленных видео,,,,,,,,
noTeamsSpecified,Команды не указаны,,,,,,,,
selectCountry,Выберите страну,,,,,,,,
selectPosition,Выберите позицию,,,,,,,,
basicInfo,Основная информация,,,,,,,,
dateFormat,ДД.ММ.ГГГГ,,,,,,,,
noPermission,У вас нет прав для редактирования этого профиля,,,,,,,,
playerUpdated,Данные обновлены,,,,,,,,
saveError,Не удалось сохранить данные,,,,,,,,
achievements.firstPlace,1 место,,,,,,,,
achievements.secondPlace,2 место,,,,,,,,
achievements.thirdPlace,3 место,,,,,,,,
achievements.place,{place} место,,,,,,,,
achievements.noAchievements,Нет достижений,,,,,,,,
exercises.exerciseNumber,Упражнение #{id},,,,,,,,
exercises.title,Упражнения,,,,,,,,
exercises.subtitle,Выберите тренировку,,,,,,,,
exercises.searchPlaceholder,Поиск по номеру или названию...,,,,,,,,
exercises.loadingExercise,Загрузка упражнения...,,,,,,,,
exercises.exercise,Упражнение,,,,,,,,
exercises.alreadyCompleted,Упражнение уже выполнено,,,,,,,,
exercises.canRetryIn,Вы можете выполнить это упражнение снова через {hours} часов,,,,,,,,
exercises.all,Все,,,,,,,,
exercises.completed,Выполнено,,,,,,,,
exercises.times,раз,,,,,,,,
exercises.loading,Загрузка...,,,,,,,,
exercises.categories.Выносливость,Выносливость,,,,,,,,
exercises.categories.Взрывная скорость,Взрывная скорость,,,,,,,,
exercises.categories.Разминка,Разминка,,,,,,,,
exercises.categories.Растяжка,Растяжка,,,,,,,,
exercises.categories.Ловкость,Ловкость,,,,,,,,
exercises.categories.Сила,Сила,,,,,,,,
exercises.categories.Баланс,Баланс,,,,,,,,
exercises.categories.Скоростная выносливость,Скоростная выносливость,,,,,,,,
exercises.categories.Восстановление,Восстановление,,,,,,,,
exercises.details.category,Категория,,,,,,,,
exercises.details.duration,Длительность,,,,,,,,
exercises.details.difficulty,Сложность,,,,,,,,
exercises.details.description,Описание,,,,,,,,
exercises.details.benefits,Польза упражнения,,,,,,,,
exercises.details.instructions,Пошаговые инструкции,,,,,,,,
exercises.details.tips,Полезные советы,,,,,,,,
exercises.details.equipment,Оборудование,,,,,,,,
exercises.details.calories,Калории,,,,,,,,
exercises.details.additionalInfo,Дополнительная информация,,,,,,,,
exercises.details.completed,Выполнено:,,,,,,,,
exercises.details.completedButton,Я выполнил,,,,,,,,
exercises.details.alreadyCompleted,Уже выполнено,,,,,,,,
exercises.details.saving,Сохранение...,,,,,,,,
exercises.details.notFound,Упражнение не найдено,,,,,,,,
exercises.details.unavailable,Недоступно,,,,,,,,
exercises.details.playersOnly,Упражнения доступны только для игроков,,,,,,,,
exercises.details.markedComplete,Упражнение отмечено как выполненное,,,,,,,,
exercises.details.error,Ошибка,,,,,,,,
exercises.details.saveError,Не удалось отметить упражнение как выполненное,,,,,,,,
exercises.details.generalError,Произошла ошибка при сохранении,,,,,,,,
exercises.details.times,раз,,,,,,,,
exercises.details.timesPlural,раза,,,,,,,,
exercises.difficulty.Начинающий,Начинающий,,,,,,,,
exercises.difficulty.Средний,Средний,,,,,,,,
exercises.difficulty.Продвинутый,Продвинутый,,,,,,,,
exercises.difficulty.Легкая,Легкая,,,,,,,,
exercises.items.1.title,Интервальный бег,,,,,,,,
exercises.items.1.description,Чередование быстрого бега (30 сек) и медленного (30 сек) в течение 20 минут. Отлично развивает кардио-выносливость для хоккея.,,,,,,,,
exercises.items.1.benefits[0],Улучшает сердечно-сосудистую выносливость,,,,,,,,
exercises.items.1.benefits[1],Развивает способность к быстрому восстановлению,,,,,,,,
exercises.items.1.benefits[2],Повышает общую физическую подготовку,,,,,,,,
exercises.items.1.benefits[3],Имитирует нагрузки хоккейного матча,,,,,,,,
exercises.items.1.instructions[0],Начните с 5-минутной разминки легким бегом,,,,,,,,
exercises.items.1.instructions[1],Выполните 30 секунд быстрого бега (80-90% от максимальной скорости),,,,,,,,
exercises.items.1.instructions[2],Перейдите на 30 секунд медленного бега для восстановления,,,,,,,,
exercises.items.1.instructions[3],Повторите цикл 20-25 раз,,,,,,,,
exercises.items.1.instructions[4],Завершите 5-минутной заминкой,,,,,,,,
exercises.items.1.tips[0],Следите за дыханием - дышите глубоко и ритмично,,,,,,,,
exercises.items.1.tips[1],Не превышайте 90% от максимальной скорости,,,,,,,,
exercises.items.1.tips[2],При усталости можно увеличить время восстановления,,,,,,,,
exercises.items.1.tips[3],Выполняйте 2-3 раза в неделю,,,,,,,,
exercises.items.1.equipment,Беговая дорожка или стадион,,,,,,,,
exercises.items.1.calories,250-350 ккал за тренировку,,,,,,,,
exercises.items.2.title,Берпи с прыжком,,,,,,,,
exercises.items.2.description,Комплексное упражнение: присед → планка → отжимание → присед → прыжок. Выполнять 3 подхода по 10-15 повторений.,,,,,,,,
exercises.items.2.benefits[0],Развивает общую выносливость,,,,,,,,
exercises.items.2.benefits[1],Укрепляет мышцы всего тела,,,,,,,,
exercises.items.2.benefits[2],Улучшает координацию движений,,,,,,,,
exercises.items.2.benefits[3],Повышает взрывную силу,,,,,,,,
exercises.items.2.instructions[0],"Встаньте прямо, ноги на ширине плеч",,,,,,,,
exercises.items.2.instructions[1],"Присядьте, поставив ладони на пол перед собой",,,,,,,,
exercises.items.2.instructions[2],"Оттолкнитесь ногами назад, принимая положение планки",,,,,,,,
exercises.items.2.instructions[3],Выполните одно отжимание,,,,,,,,
exercises.items.2.instructions[4],"Подтяните ноги обратно к рукам, оставаясь в приседе",,,,,,,,
exercises.items.2.instructions[5],"Выпрыгните вверх, поднимая руки над головой",,,,,,,,
exercises.items.2.instructions[6],Приземлитесь мягко и повторите,,,,,,,,
exercises.items.2.tips[0],Держите спину прямой на всех этапах,,,,,,,,
exercises.items.2.tips[1],Приземляйтесь на полусогнутые ноги,,,,,,,,
exercises.items.2.tips[2],Начинайте с 5-8 повторений и постепенно увеличивайте,,,,,,,,
exercises.items.2.tips[3],Отдыхайте 60-90 секунд между подходами,,,,,,,,
exercises.items.2.equipment,Коврик для упражнений (опционально),,,,,,,,
exercises.items.2.calories,200-300 ккал за тренировку,,,,,,,,
exercises.items.3.title,Велосипед,,,,,,,,
exercises.items.3.description,"Интенсивная езда на велосипеде или велотренажере с интервалами высокой нагрузки. 5 минут разминки, 20 минут интервалов.",,,,,,,,
exercises.items.3.benefits[0],Развивает кардио-выносливость,,,,,,,,
exercises.items.3.benefits[1],Укрепляет мышцы ног,,,,,,,,
exercises.items.3.benefits[2],Сжигает много калорий,,,,,,,,
exercises.items.3.benefits[3],Низкая нагрузка на суставы,,,,,,,,
exercises.items.3.instructions[0],5 минут разминки на низкой интенсивности,,,,,,,,
exercises.items.3.instructions[1],2 минуты высокой интенсивности (80-85% от максимума),,,,,,,,
exercises.items.3.instructions[2],1 минута восстановления на низкой интенсивности,,,,,,,,
exercises.items.3.instructions[3],Повторите интервалы 10 раз,,,,,,,,
exercises.items.3.instructions[4],5 минут заминки на низкой интенсивности,,,,,,,,
exercises.items.3.tips[0],Поддерживайте высокий темп педалирования (80-100 об/мин),,,,,,,,
exercises.items.3.tips[1],Следите за положением тела - спина прямая,,,,,,,,
exercises.items.3.tips[2],Регулируйте сопротивление для изменения интенсивности,,,,,,,,
exercises.items.3.tips[3],Пейте воду во время тренировки,,,,,,,,
exercises.items.3.equipment,Велосипед или велотренажер,,,,,,,,
exercises.items.3.calories,300-400 ккал за тренировку,,,,,,,,
exercises.items.4.title,Плиометрические прыжки,,,,,,,,
exercises.items.4.description,"Прыжки на месте с максимальной высотой, приземление на полусогнутые ноги. 3 подхода по 15-20 прыжков.",,,,,,,,
exercises.items.4.benefits[0],Развивает взрывную силу ног,,,,,,,,
exercises.items.4.benefits[1],Улучшает реакцию и скорость,,,,,,,,
exercises.items.4.benefits[2],Укрепляет сухожилия и связки,,,,,,,,
exercises.items.4.benefits[3],Повышает вертикальный прыжок,,,,,,,,
exercises.items.4.instructions[0],"Встаньте прямо, ноги на ширине плеч",,,,,,,,
exercises.items.4.instructions[1],"Присядьте на 1/4, согнув колени",,,,,,,,
exercises.items.4.instructions[2],"Взрывно выпрыгните вверх, вытягивая руки",,,,,,,,
exercises.items.4.instructions[3],Приземлитесь на полусогнутые ноги,,,,,,,,
exercises.items.4.instructions[4],Сразу же выполняйте следующий прыжок,,,,,,,,
exercises.items.4.instructions[5],Выполните 15-20 прыжков подряд,,,,,,,,
exercises.items.4.tips[0],"Приземляйтесь мягко, сгибая колени",,,,,,,,
exercises.items.4.tips[1],Держите корпус прямо,,,,,,,,
exercises.items.4.tips[2],Не делайте паузы между прыжками,,,,,,,,
exercises.items.4.tips[3],Отдыхайте 2-3 минуты между подходами,,,,,,,,
exercises.items.4.equipment,Коврик для упражнений (опционально),,,,,,,,
exercises.items.4.calories,150-200 ккал за тренировку,,,,,,,,
exercises.items.5.title,Спринты на короткие дистанции,,,,,,,,
exercises.items.5.description,Бег на максимальной скорости на дистанции 20-30 метров с отдыхом 30 секунд между забегами. 8-10 забегов.,,,,,,,,
exercises.items.5.benefits[0],Развивает максимальную скорость,,,,,,,,
exercises.items.5.benefits[1],Улучшает ускорение,,,,,,,,
exercises.items.5.benefits[2],Укрепляет мышцы ног,,,,,,,,
exercises.items.5.benefits[3],Повышает координацию движений,,,,,,,,
exercises.items.5.instructions[0],Разметьте дистанцию 20-30 метров,,,,,,,,
exercises.items.5.instructions[1],Примите положение старта (полуприсед),,,,,,,,
exercises.items.5.instructions[2],По сигналу бегите на максимальной скорости,,,,,,,,
exercises.items.5.instructions[3],Пересеките финишную линию,,,,,,,,
exercises.items.5.instructions[4],Медленно вернитесь к старту,,,,,,,,
exercises.items.5.instructions[5],Отдохните 30 секунд и повторите,,,,,,,,
exercises.items.5.tips[0],Фокусируйтесь на технике бега,,,,,,,,
exercises.items.5.tips[1],Держите корпус прямо,,,,,,,,
exercises.items.5.tips[2],Работайте руками активно,,,,,,,,
exercises.items.5.tips[3],Не сокращайте время отдыха,,,,,,,,
exercises.items.5.equipment,Открытое пространство или беговая дорожка,,,,,,,,
exercises.items.5.calories,200-250 ккал за тренировку,,,,,,,,
exercises.items.6.title,Броски мяча в стену,,,,,,,,
exercises.items.6.description,"Броски медицинского мяча в стену с максимальной силой, ловля и повторный бросок. 3 подхода по 20 бросков.",,,,,,,,
exercises.items.6.benefits[0],Развивает взрывную силу рук,,,,,,,,
exercises.items.6.benefits[1],Улучшает координацию,,,,,,,,
exercises.items.6.benefits[2],Укрепляет мышцы кора,,,,,,,,
exercises.items.6.benefits[3],Повышает скорость броска,,,,,,,,
exercises.items.6.instructions[0],Встаньте в 1-2 метрах от стены,,,,,,,,
exercises.items.6.instructions[1],Держите мяч двумя руками на уровне груди,,,,,,,,
exercises.items.6.instructions[2],"Присядьте, сгибая колени",,,,,,,,
exercises.items.6.instructions[3],"Взрывно выпрямите ноги и руки, бросая мяч",,,,,,,,
exercises.items.6.instructions[4],Поймайте отскочивший мяч,,,,,,,,
exercises.items.6.instructions[5],Сразу же выполняйте следующий бросок,,,,,,,,
exercises.items.6.tips[0],Используйте мяч весом 2-4 кг,,,,,,,,
exercises.items.6.tips[1],Бросайте с максимальной силой,,,,,,,,
exercises.items.6.tips[2],Держите спину прямой,,,,,,,,
exercises.items.6.tips[3],"Работайте всем телом, а не только руками",,,,,,,,
exercises.items.6.equipment,"Медицинский мяч 2-4 кг, стена",,,,,,,,
exercises.items.6.calories,120-180 ккал за тренировку,,,,,,,,
exercises.items.7.title,Динамическая растяжка ног,,,,,,,,
exercises.items.7.description,"Махи ногами вперед, назад и в стороны, круговые движения в тазобедренных суставах. 10-15 повторений каждой ногой.",,,,,,,,
exercises.items.7.benefits[0],Разогревает мышцы ног,,,,,,,,
exercises.items.7.benefits[1],Улучшает подвижность суставов,,,,,,,,
exercises.items.7.benefits[2],Подготавливает к тренировке,,,,,,,,
exercises.items.7.benefits[3],Снижает риск травм,,,,,,,,
exercises.items.7.instructions[0],"Встаньте прямо, держась за опору",,,,,,,,
exercises.items.7.instructions[1],Выполните 10-15 махов вперед правой ногой,,,,,,,,
exercises.items.7.instructions[2],Выполните 10-15 махов назад правой ногой,,,,,,,,
exercises.items.7.instructions[3],Выполните 10-15 махов в сторону правой ногой,,,,,,,,
exercises.items.7.instructions[4],Повторите для левой ноги,,,,,,,,
exercises.items.7.instructions[5],Выполните круговые движения в тазобедренных суставах,,,,,,,,
exercises.items.7.tips[0],Держите спину прямо,,,,,,,,
exercises.items.7.tips[1],Не раскачивайтесь слишком сильно,,,,,,,,
exercises.items.7.tips[2],Выполняйте движения плавно,,,,,,,,
exercises.items.7.tips[3],Дышите глубоко и ритмично,,,,,,,,
exercises.items.7.equipment,Стена или стул для опоры,,,,,,,,
exercises.items.7.calories,50-80 ккал за разминку,,,,,,,,
exercises.items.8.title,Разминка верхней части тела,,,,,,,,
exercises.items.8.description,"Круговые движения руками, наклоны туловища, повороты. Разогрев плечевых суставов и спины.",,,,,,,,
exercises.items.8.benefits[0],Разогревает мышцы верхней части тела,,,,,,,,
exercises.items.8.benefits[1],Улучшает подвижность плечевых суставов,,,,,,,,
exercises.items.8.benefits[2],Подготавливает руки к работе,,,,,,,,
exercises.items.8.benefits[3],Активирует мышцы кора,,,,,,,,
exercises.items.8.instructions[0],"Встаньте прямо, ноги на ширине плеч",,,,,,,,
exercises.items.8.instructions[1],Выполните 10 круговых движений руками вперед,,,,,,,,
exercises.items.8.instructions[2],Выполните 10 круговых движений руками назад,,,,,,,,
exercises.items.8.instructions[3],Выполните 10 наклонов туловища в стороны,,,,,,,,
exercises.items.8.instructions[4],Выполните 10 поворотов туловища,,,,,,,,
exercises.items.8.instructions[5],Выполните круговые движения плечами,,,,,,,,
exercises.items.8.tips[0],Двигайтесь медленно и плавно,,,,,,,,
exercises.items.8.tips[1],Не делайте резких движений,,,,,,,,
exercises.items.8.tips[2],Следите за дыханием,,,,,,,,
exercises.items.8.tips[3],Постепенно увеличивайте амплитуду движений,,,,,,,,
exercises.items.8.equipment,Не требуется,,,,,,,,
exercises.items.8.calories,40-60 ккал за разминку,,,,,,,,
exercises.items.9.title,Легкий бег на месте,,,,,,,,
exercises.items.9.description,"Бег на месте с высоким подниманием коленей, постепенное увеличение темпа. 5-7 минут.",,,,,,,,
exercises.items.9.benefits[0],Повышает частоту сердечных сокращений,,,,,,,,
exercises.items.9.benefits[1],Разогревает мышцы ног,,,,,,,,
exercises.items.9.benefits[2],Улучшает координацию,,,,,,,,
exercises.items.9.benefits[3],Подготавливает к основной тренировке,,,,,,,,
exercises.items.9.instructions[0],"Встаньте прямо, ноги на ширине плеч",,,,,,,,
exercises.items.9.instructions[1],Начните с легкого бега на месте,,,,,,,,
exercises.items.9.instructions[2],Постепенно поднимайте колени выше,,,,,,,,
exercises.items.9.instructions[3],"Работайте руками, как при обычном беге",,,,,,,,
exercises.items.9.instructions[4],Увеличивайте темп в течение 2-3 минут,,,,,,,,
exercises.items.9.instructions[5],Замедляйтесь в последние 2 минуты,,,,,,,,
exercises.items.9.tips[0],Держите спину прямо,,,,,,,,
exercises.items.9.tips[1],Приземляйтесь на носки,,,,,,,,
exercises.items.9.tips[2],Дышите глубоко,,,,,,,,
exercises.items.9.tips[3],Не делайте слишком высокие прыжки,,,,,,,,
exercises.items.9.equipment,Не требуется,,,,,,,,
exercises.items.9.calories,60-80 ккал за разминку,,,,,,,,
exercises.items.10.title,Статическая растяжка мышц ног,,,,,,,,
exercises.items.10.description,"Удержание позиций растяжки для квадрицепсов, икроножных мышц и приводящих мышц. 30 секунд на каждую группу.",,,,,,,,
exercises.items.10.benefits[0],Улучшает гибкость мышц ног,,,,,,,,
exercises.items.10.benefits[1],Снижает мышечное напряжение,,,,,,,,
exercises.items.10.benefits[2],Ускоряет восстановление,,,,,,,,
exercises.items.10.benefits[3],Предотвращает травмы,,,,,,,,
exercises.items.10.instructions[0],"Растяжка квадрицепсов: встаньте на одну ногу, согните другую назад",,,,,,,,
exercises.items.10.instructions[1],"Растяжка икр: сделайте выпад вперед, держа заднюю ногу прямой",,,,,,,,
exercises.items.10.instructions[2],"Растяжка приводящих мышц: сядьте, разведите ноги в стороны",,,,,,,,
exercises.items.10.instructions[3],Удерживайте каждую позицию 30 секунд,,,,,,,,
exercises.items.10.instructions[4],Дышите глубоко и расслабляйте мышцы,,,,,,,,
exercises.items.10.tips[0],Не растягивайтесь до боли,,,,,,,,
exercises.items.10.tips[1],Дышите глубоко и медленно,,,,,,,,
exercises.items.10.tips[2],Расслабляйте мышцы во время растяжки,,,,,,,,
exercises.items.10.tips[3],Выполняйте после тренировки,,,,,,,,
exercises.items.10.equipment,Коврик для упражнений,,,,,,,,
exercises.items.10.calories,80-100 ккал за растяжку,,,,,,,,
exercises.items.11.title,Растяжка спины и плеч,,,,,,,,
exercises.items.11.description,"Наклоны вперед, растяжка грудных мышц, растяжка трицепсов. Удержание каждой позиции 20-30 секунд.",,,,,,,,
exercises.items.11.benefits[0],Улучшает гибкость и подвижность,,,,,,,,
exercises.items.11.benefits[1],Снимает мышечное напряжение,,,,,,,,
exercises.items.11.benefits[2],Предотвращает травмы,,,,,,,,
exercises.items.11.benefits[3],Улучшает восстановление после тренировок,,,,,,,,
exercises.items.11.instructions[0],Разогрейтесь перед растяжкой,,,,,,,,
exercises.items.11.instructions[1],Растягивайтесь медленно и плавно,,,,,,,,
exercises.items.11.instructions[2],Удерживайте позицию 20-30 секунд,,,,,,,,
exercises.items.11.instructions[3],Не допускайте резкой боли,,,,,,,,
exercises.items.11.tips[0],Дышите глубоко во время растяжки,,,,,,,,
exercises.items.11.tips[1],Не делайте резких движений,,,,,,,,
exercises.items.11.tips[2],Выполняйте ежедневно для лучшего результата,,,,,,,,
exercises.items.11.tips[3],Растягивайтесь после тренировки,,,,,,,,
exercises.items.12.title,Йога для хоккеистов,,,,,,,,
exercises.items.12.description,"Комплекс асан для развития гибкости и баланса: поза воина, поза дерева, поза собаки мордой вниз.",,,,,,,,
exercises.items.12.benefits[0],Увеличивает мышечную силу,,,,,,,,
exercises.items.12.benefits[1],Улучшает мышечную выносливость,,,,,,,,
exercises.items.12.benefits[2],Развивает функциональную силу,,,,,,,,
exercises.items.12.benefits[3],Укрепляет опорно-двигательный аппарат,,,,,,,,
exercises.items.12.instructions[0],Выполните разминку перед упражнением,,,,,,,,
exercises.items.12.instructions[1],Следите за правильной техникой выполнения,,,,,,,,
exercises.items.12.instructions[2],Контролируйте дыхание - выдох на усилии,,,,,,,,
exercises.items.12.instructions[3],Отдыхайте между подходами 60-90 секунд,,,,,,,,
exercises.items.12.tips[0],Начинайте с меньшего веса и увеличивайте постепенно,,,,,,,,
exercises.items.12.tips[1],Не задерживайте дыхание,,,,,,,,
exercises.items.12.tips[2],Выполняйте 2-3 раза в неделю,,,,,,,,
exercises.items.12.tips[3],При усталости снижайте нагрузку,,,,,,,,
exercises.items.13.title,Лестница координации,,,,,,,,
exercises.items.13.description,"Быстрые движения ногами через лестницу: боковые шаги, скрестные шаги, прыжки. 3 прохода каждого типа.",,,,,,,,
exercises.items.13.benefits[0],Развивает координацию движений,,,,,,,,
exercises.items.13.benefits[1],Улучшает баланс и равновесие,,,,,,,,
exercises.items.13.benefits[2],Повышает ловкость,,,,,,,,
exercises.items.13.benefits[3],Развивает нейромышечную связь,,,,,,,,
exercises.items.13.instructions[0],Начните с медленного темпа,,,,,,,,
exercises.items.13.instructions[1],Сосредоточьтесь на точности движений,,,,,,,,
exercises.items.13.instructions[2],Постепенно увеличивайте скорость,,,,,,,,
exercises.items.13.instructions[3],Повторяйте до автоматизма,,,,,,,,
exercises.items.13.tips[0],Практикуйтесь регулярно,,,,,,,,
exercises.items.13.tips[1],Не торопитесь - точность важнее скорости,,,,,,,,
exercises.items.13.tips[2],Используйте зрительные ориентиры,,,,,,,,
exercises.items.13.tips[3],Тренируйтесь в разных условиях,,,,,,,,
exercises.items.14.title,Жонглирование мячами,,,,,,,,
exercises.items.14.description,Жонглирование 2-3 теннисными мячами для развития координации рук и глаз. Начинать с 1 мяча.,,,,,,,,
exercises.items.14.benefits[0],Развивает координацию движений,,,,,,,,
exercises.items.14.benefits[1],Улучшает баланс и равновесие,,,,,,,,
exercises.items.14.benefits[2],Повышает ловкость,,,,,,,,
exercises.items.14.benefits[3],Развивает нейромышечную связь,,,,,,,,
exercises.items.14.instructions[0],Начните с медленного темпа,,,,,,,,
exercises.items.14.instructions[1],Сосредоточьтесь на точности движений,,,,,,,,
exercises.items.14.instructions[2],Постепенно увеличивайте скорость,,,,,,,,
exercises.items.14.instructions[3],Повторяйте до автоматизма,,,,,,,,
exercises.items.14.tips[0],Практикуйтесь регулярно,,,,,,,,
exercises.items.14.tips[1],Не торопитесь - точность важнее скорости,,,,,,,,
exercises.items.14.tips[2],Используйте зрительные ориентиры,,,,,,,,
exercises.items.14.tips[3],Тренируйтесь в разных условиях,,,,,,,,
exercises.items.15.title,Быстрые касания конусов,,,,,,,,
exercises.items.15.description,Расставить 5-6 конусов и быстро касаться их рукой в случайном порядке. 3 подхода по 30 секунд.,,,,,,,,
exercises.items.15.benefits[0],Увеличивает мышечную силу,,,,,,,,
exercises.items.15.benefits[1],Улучшает мышечную выносливость,,,,,,,,
exercises.items.15.benefits[2],Развивает функциональную силу,,,,,,,,
exercises.items.15.benefits[3],Укрепляет опорно-двигательный аппарат,,,,,,,,
exercises.items.15.instructions[0],Выполните разминку перед упражнением,,,,,,,,
exercises.items.15.instructions[1],Следите за правильной техникой выполнения,,,,,,,,
exercises.items.15.instructions[2],Контролируйте дыхание - выдох на усилии,,,,,,,,
exercises.items.15.instructions[3],Отдыхайте между подходами 60-90 секунд,,,,,,,,
exercises.items.15.tips[0],Начинайте с меньшего веса и увеличивайте постепенно,,,,,,,,
exercises.items.15.tips[1],Не задерживайте дыхание,,,,,,,,
exercises.items.15.tips[2],Выполняйте 2-3 раза в неделю,,,,,,,,
exercises.items.15.tips[3],При усталости снижайте нагрузку,,,,,,,,
exercises.items.16.title,Гребля на тренажере,,,,,,,,
exercises.items.16.description,"Интервальная гребля: 2 минуты высокой интенсивности, 1 минута отдыха. 8-10 циклов для развития выносливости.",,,,,,,,
exercises.items.16.benefits[0],Увеличивает мышечную силу,,,,,,,,
exercises.items.16.benefits[1],Улучшает мышечную выносливость,,,,,,,,
exercises.items.16.benefits[2],Развивает функциональную силу,,,,,,,,
